Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,35-Excepted Service - Schedule D,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Total Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,45-Excepted Service - Schedule D,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Total Non-permanent,Unspecified,All Appointments
HT00-HARRY S. TRUMAN SCHOLARSHIP FOUNDATION,3,1,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,5
HU01-OFFICE OF THE SENIOR COORDINATOR FOR NEW ENGLAND,166,24,18,2,1,0,0,0,0,0,211,0,1,0,1,0,0,0,0,0,2,0,213
HU02-OFFICE OF THE SENIOR COORDINATOR FOR NEW YORK/NEW JERSEY,306,27,22,0,1,0,2,0,0,0,358,1,0,0,0,0,0,0,0,0,1,0,359
HU03-OFFICE OF THE SENIOR COORDINATOR FOR MID-ATLANTIC,511,26,21,1,0,0,0,0,0,0,559,0,0,0,1,0,0,0,0,0,1,0,560
HU04-OFFICE OF THE SENIOR COORDINATOR FOR SOUTHEAST/CARIBBEAN,776,53,36,2,1,0,5,0,1,0,874,4,2,0,0,0,0,0,0,0,6,0,880
HU05-OFFICE OF THE SENIOR COORDINATOR FOR MIDWEST,492,43,37,2,3,0,0,1,1,0,579,5,1,0,0,0,0,0,0,0,6,0,585
HU06-OFFICE OF THE SENIOR COORDINATOR FOR SOUTHWEST,468,29,22,1,0,0,4,1,1,0,526,2,0,0,0,0,0,1,0,0,3,0,529
HU07-OFFICE OF THE SENIOR COORDINATOR FOR GREAT PLAINS,155,11,15,1,1,0,1,0,0,0,184,1,1,1,0,0,0,0,0,0,3,0,187
HU08-OFFICE OF THE SENIOR COORDINATOR FOR ROCKY MOUNTAINS,248,33,17,0,0,0,3,0,0,0,301,0,0,0,1,0,0,0,0,0,1,0,302
HU09-OFFICE OF THE SENIOR COORDINATOR FOR PACIFIC/HAWAII,465,45,24,1,1,0,0,0,1,0,537,3,1,0,0,0,0,0,0,0,4,0,541
HU10-OFFICE OF THE SENIOR COORDINATOR FOR NORTHWEST/ALASKA,160,19,9,0,0,0,1,0,0,0,189,0,2,0,0,0,0,0,0,0,2,0,191
HUAA-OFFICE OF THE SECRETARY OF HOUSING AND URBAN DEVELOPMENT,12,2,3,2,0,0,0,1,2,0,22,1,0,0,10,0,2,19,0,0,32,0,54
HUBB-OFFICE OF THE CHIEF HUMAN CAPITAL OFFICER,403,8,2,11,1,0,1,6,1,0,433,1,1,0,3,0,0,2,0,0,7,0,440
HUCC-OFFICE OF GENERAL COUNSEL,145,6,136,3,0,0,2,11,2,0,305,0,7,0,2,0,1,0,0,0,10,0,315
HUDD-ASSISTANT SECRETARY FOR COMMUNITY PLANNING AND DEVELOPMENT,199,18,0,0,0,0,2,6,2,0,227,25,1,3,0,0,0,1,0,0,30,0,257
HUEE-ASSISTANT SECRETARY FOR FAIR HOUSING AND EQUAL OPPORTUNITY,103,6,1,1,1,0,1,4,0,0,117,0,0,0,1,0,0,2,0,0,3,0,120
HUFF-OFFICE OF THE CHIEF FINANCIAL OFFICER,128,13,3,2,3,0,0,3,0,0,152,1,0,7,0,0,0,0,0,0,8,0,160
HUGG-OFFICE OF INSPECTOR GENERAL,571,23,4,0,0,0,1,7,0,0,606,4,0,2,0,0,1,0,0,0,7,0,613
HUII-OFFICE OF DEPARTMENTAL OPERATIONS AND COORDINATION,47,0,1,1,0,0,0,2,0,0,51,0,0,0,0,0,0,0,0,0,0,0,51
HUJJ-ASSISTANT SECRETARY FOR CONGRESSIONAL AND INTERGOVERNMENTAL RELATIONS,7,0,0,0,0,0,0,0,0,0,7,0,0,0,8,0,0,0,0,0,8,0,15
HUKA-CENTER FOR FAITH-BASED AND COMMUNITY INITIATIVES,5,0,0,0,0,0,0,1,0,0,6,0,0,2,0,0,0,0,0,0,2,0,8
HUKK-OFFICE OF FIELD POLICY AND MANAGEMENT,19,2,1,2,0,0,0,3,1,0,28,2,0,0,0,0,0,0,0,0,2,0,30
HULL-OFFICE OF HEALTHY HOMES AND LEAD HAZARD CONTROL,41,5,0,4,0,0,0,1,0,0,51,0,0,1,0,1,0,0,0,0,2,0,53
HUMM-ASSISTANT SECRETARY FOR HOUSING--FEDERAL HOUSING COMMISSIONER,855,102,6,13,13,0,4,15,3,0,1011,0,0,1,3,0,1,7,0,0,12,0,1023
HUNN-OFFICE OF THE CHIEF PROCUREMENT OFFICER,105,6,0,1,0,0,1,2,0,0,115,0,0,1,0,0,0,0,0,0,1,0,116
HUPP-ASSISTANT SECRETARY FOR PUBLIC AND INDIAN HOUSING,563,30,1,2,0,0,4,6,0,0,606,0,1,0,2,0,1,0,0,0,4,0,610
HUQQ-OFFICE OF THE CHIEF INFORMATION OFFICER,227,10,2,0,0,0,2,4,0,0,245,0,0,0,0,0,0,0,0,0,0,0,245
HURR-ASSISTANT SECRETARY FOR POLICY DEVELOPMENT AND RESEARCH,86,9,0,0,1,0,1,4,1,0,102,0,0,0,3,0,0,0,0,0,3,0,105
HUTT-GOVERNMENT NATIONAL MORTGAGE ASSOCIATION (GINNIE MAE),64,34,0,2,0,0,0,7,0,0,107,0,0,0,0,0,1,0,0,0,1,0,108
HUUU-OFFICE OF DEPARTMENTAL EQUAL EMPLOYMENT OPPORTUNITY,17,0,0,0,0,0,0,1,0,0,18,0,0,0,0,0,0,0,0,0,0,0,18
HUWW-ASSISTANT SECRETARY FOR PUBLIC AFFAIRS,10,0,0,0,0,0,0,1,0,0,11,0,0,0,6,0,1,0,0,0,7,0,18
HUXX-OFFICE OF STRATEGIC PLANNING AND MANAGEMENT,23,0,0,2,0,0,0,0,1,0,26,0,0,0,0,0,0,0,0,0,0,0,26
HUYY-OFFICE OF SUSTAINABLE HOUSING AND COMMUNTIES,9,4,1,0,0,0,0,0,0,0,14,0,0,0,1,0,0,0,0,0,1,0,15
HW00-U.S. INTERAGENCY COUNCIL ON HOMELESSNESS,0,0,0,0,0,0,4,0,0,0,4,0,5,1,0,0,0,20,0,0,26,0,30
IB00-BROADCASTING BOARD OF GOVERNORS,1181,137,11,67,3,0,143,12,2,0,1556,16,0,2,1,1,3,38,2,0,63,0,1619
IF00-INTER-AMERICAN FOUNDATION,24,11,2,0,0,0,1,0,0,0,38,1,0,0,0,0,0,0,0,0,1,0,39
IG00-COUNCIL OF THE INSPECTORS GENERAL ON INTEGRITY AND EFFICIENCY,5,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,0,0,0,7
IN01-OFFICE OF THE SECRETARY OF THE INTERIOR,2847,287,83,18,7,0,117,65,19,0,3443,30,7,12,32,7,5,6,0,0,99,0,3542
IN05-BUREAU OF LAND MANAGEMENT,7880,1029,17,124,40,0,88,20,1,0,9199,380,707,106,1,182,0,266,0,0,1642,0,10841
IN06-INDIAN AFFAIRS,3889,126,544,8,0,0,9,21,0,0,4597,16,192,1,0,2,0,3338,0,0,3549,0,8146
IN07-BUREAU OF RECLAMATION,4169,710,21,35,26,0,42,13,1,0,5017,125,5,30,1,49,4,0,1,0,215,0,5232
IN08-GEOLOGICAL SURVEY,6248,496,12,161,132,0,18,22,0,0,7089,921,227,40,0,236,0,4,0,0,1428,0,8517
IN10-NATIONAL PARK SERVICE,13270,2067,117,306,45,0,163,26,0,0,15994,6157,435,765,2,144,3,164,1,0,7671,0,23665
IN15-U.S. FISH AND WILDLIFE SERVICE,7248,790,44,103,30,0,59,20,1,0,8295,823,99,129,1,30,1,15,1,0,1099,0,9394
IN21-OFFICE OF THE SOLICITOR,78,1,244,0,0,0,0,13,5,0,341,2,71,0,0,0,1,0,0,0,74,0,415
"IN22-OFFICE OF SURFACE MINING, RECLAMATION AND ENFORCEMENT",374,38,1,1,2,0,9,6,1,0,432,2,0,15,0,1,1,0,0,0,19,0,451
IN24-OFFICE OF THE INSPECTOR GENERAL,217,14,8,0,0,0,0,6,0,0,245,1,0,1,0,5,0,1,0,0,8,0,253
IN26-BUREAU OF SAFETY AND ENVIRONMENTAL ENFORCEMENT,534,185,4,1,9,0,5,4,3,0,745,8,0,6,2,3,0,0,0,0,19,0,764
IN27-BUREAU OF OCEAN ENERGY MANAGEMENT,442,76,1,2,1,0,6,6,0,0,534,0,0,8,2,2,0,0,0,0,12,0,546
JL03-U.S. TAX COURT,0,0,2,0,0,0,116,0,0,0,118,0,11,0,8,0,0,62,0,0,81,0,199
KS00-CORPORATION FOR NATIONAL AND COMMUNITY SERVICE,14,0,1,0,0,0,583,0,0,0,598,0,0,0,0,0,2,31,0,0,33,0,631
LF00-FEDERAL ELECTION COMMISSION,3,0,0,0,0,0,321,0,0,0,324,0,0,0,0,0,0,14,0,0,14,0,338
LP00-GOVERNMENT PRINTING OFFICE,1723,106,8,1,0,0,22,0,0,0,1860,2,0,0,0,0,1,14,0,0,17,0,1877
MA00-MARINE MAMMAL COMMISSION,7,2,1,0,0,0,1,0,0,0,11,0,0,0,0,0,3,6,0,0,9,0,20
MC00-FEDERAL MARITIME COMMISSION,80,2,22,0,0,0,2,7,0,0,113,1,0,0,1,0,5,0,0,0,7,0,120
MI00-MILLENNIUM CHALLENGE CORPORATION,161,41,1,0,0,0,1,0,0,0,204,26,1,0,0,1,9,52,0,0,89,0,293
NF00-NATIONAL SCIENCE FOUNDATION,675,82,6,7,44,0,377,74,0,0,1265,3,1,0,0,0,25,178,8,0,215,0,1480
NK00-NATIONAL COUNCIL ON DISABILITY,3,1,4,0,0,0,0,0,0,0,8,0,0,0,0,0,13,5,0,0,18,0,26
NL00-NATIONAL LABOR RELATIONS BOARD,747,80,666,8,2,0,6,50,6,0,1565,2,10,5,0,1,5,0,0,0,23,0,1588
NM00-NATIONAL MEDIATION BOARD,31,5,7,0,0,0,0,1,0,0,44,0,0,0,2,0,1,2,0,0,5,0,49
"NN10-HEADQUARTERS, NASA",1190,82,33,1,0,0,1,132,4,0,1443,5,0,0,10,2,2,23,2,0,44,0,1487
NN21-AMES RESEARCH CENTER,999,154,10,15,4,0,2,23,0,0,1207,4,0,0,0,1,0,0,0,0,5,0,1212
NN22-JOHN GLENN RESEARCH CENTER AT LEWIS FIELD,1397,157,8,8,29,0,2,27,0,0,1628,1,0,0,0,0,0,0,0,0,1,0,1629
NN23-LANGLEY RESEARCH CENTER,1551,173,9,10,24,0,1,31,0,0,1799,90,0,0,0,0,0,1,0,0,91,0,1890
NN24-DRYDEN FLIGHT RESEARCH CENTER,449,74,3,2,11,0,1,12,0,0,552,2,0,0,0,0,0,0,0,0,2,0,554
NN51-GODDARD SPACE FLIGHT CENTER,2703,498,29,24,19,0,3,48,0,0,3324,17,0,9,0,12,0,12,0,0,50,0,3374
NN62-GEORGE C. MARSHALL SPACE FLIGHT CENTER,2054,281,10,7,17,0,4,46,0,0,2419,1,0,0,0,0,0,0,0,0,1,0,2420
NN64-JOHN C. STENNIS SPACE CENTER,228,53,4,2,9,0,0,9,0,0,305,14,0,0,0,0,0,0,0,0,14,0,319
NN72-LYNDON B. JOHNSON SPACE CENTER,2739,198,22,7,45,0,4,51,0,0,3066,6,0,0,0,0,0,7,1,0,14,0,3080
NN76-JOHN F. KENNEDY SPACE CENTER,1817,128,15,19,28,0,0,25,0,0,2032,6,2,2,0,2,0,0,0,0,12,0,2044
NP00-NATIONAL CAPITAL PLANNING COMMISSION,27,4,1,0,0,0,0,2,0,0,34,0,0,0,0,0,3,2,0,0,5,0,39
NQ00-NATIONAL ARCHIVES AND RECORDS ADMINISTRATION,2274,234,17,36,8,0,10,23,0,0,2602,54,2,250,0,230,1,11,0,0,548,0,3150
NS00-NATIONAL SECURITY COUNCIL,0,0,18,0,0,0,0,0,0,0,18,0,44,0,0,0,0,4,0,0,48,0,66
NU00-NUCLEAR REGULATORY COMMISSION,0,0,0,0,0,0,3542,145,1,0,3688,0,0,0,0,0,5,156,0,0,161,0,3849
NV11-IMMEDIATE OFFICE OF THE CHIEF OF NAVAL OPERATIONS,2111,431,490,24,4,0,105,19,0,0,3184,48,1028,10,0,8,0,42,0,0,1136,0,4320
NV12-DEPARTMENT OF THE NAVY/ASSISTANT FOR ADMINISTRATION (DON/AA),2092,246,1781,5,8,0,216,67,3,0,4418,7,13,1,10,0,6,8,0,0,45,0,4463
NV14-OFFICE OF NAVAL RESEARCH,2320,325,49,24,3,0,6,41,0,0,2768,4,15,48,0,3,0,20,0,0,90,0,2858
NV15-NAVAL INTELLIGENCE COMMAND,0,0,0,0,0,0,1596,0,0,0,1596,0,0,0,0,0,0,9,0,0,9,0,1605
NV18-NAVAL MEDICAL COMMAND,8829,2129,31,10,3,0,290,2,0,0,11294,310,106,24,0,16,0,1,0,0,457,0,11751
NV19-NAVAL AIR SYSTEMS COMMAND,20845,2572,147,70,19,0,205,36,0,0,23894,107,2,31,0,2,0,0,0,0,142,0,24036
NV22-BUREAU OF NAVAL PERSONNEL,1351,256,1,2,0,0,57,0,0,0,1667,6,0,1,0,0,0,0,0,0,7,0,1674
NV23-NAVAL SUPPLY SYSTEMS COMMAND,5223,557,76,23,7,0,135,5,0,0,6026,23,24,0,0,0,0,0,0,0,47,0,6073
NV24-NAVAL SEA SYSTEMS COMMAND,22717,2483,156,51,49,0,301,54,0,0,25811,54,8,12,0,2,0,0,0,0,76,0,25887
NV25-NAVAL FACILITIES ENGINEERING COMMAND,13377,1414,98,141,27,0,85,8,0,0,15150,75,21,66,0,11,0,0,0,0,173,0,15323
NV27-U.S. MARINE CORPS,15444,2646,125,21,24,0,857,23,0,0,19140,514,167,0,0,4,0,18,0,0,703,0,19843
NV30-STRATEGIC SYSTEMS PROGRAMS OFFICE,857,106,11,0,0,0,16,10,0,0,1000,2,0,0,0,1,0,1,0,0,4,0,1004
NV33-MILITARY SEALIFT COMMAND,925,170,5663,6,0,0,21,6,0,0,6791,9,36,2,0,0,0,0,0,0,47,0,6838
NV39-SPACE AND NAVAL WARFARE SYSTEMS COMMAND,7316,1346,138,36,40,0,131,17,0,0,9024,58,0,17,0,9,0,1,0,0,85,0,9109
"NV52-COMMANDER, NAVY INSTALLATIONS",10196,1952,45,8,7,0,521,6,0,0,12735,109,200,0,0,0,0,4,0,0,313,0,13048
"NV60-U.S. ATLANTIC FLEET, COMMANDER IN CHIEF",16326,4070,101,689,35,0,847,11,0,0,22079,19,21,12,0,2,0,5,0,0,59,0,22138
"NV70-U.S. PACIFIC FLEET, COMMANDER IN CHIEF",15032,2520,29,640,98,0,278,8,0,0,18605,107,6,0,0,0,0,1,0,0,114,0,18719
NV72-NAVAL RESERVE FORCE,320,50,3,0,0,0,56,0,0,0,429,1,2,0,0,0,0,1,0,0,4,0,433
NV74-NAVAL SPECIAL WARFARE COMMAND,931,138,4,0,0,0,52,0,0,0,1125,30,1,0,0,0,0,6,0,0,37,0,1162
NV76-NAVAL EDUCATION AND TRAINING COMMAND,2415,1266,46,5,134,0,135,0,0,0,4001,15,1,0,0,0,0,0,0,0,16,0,4017
OM00-OFFICE OF PERSONNEL MANAGEMENT,4323,621,357,25,21,0,30,53,13,0,5443,70,15,10,16,5,1,20,1,1,139,0,5582
OS00-OCCUPATIONAL SAFETY AND HEALTH REVIEW COMMISSION,27,4,16,0,0,0,1,2,1,0,51,0,0,0,2,0,1,1,0,0,4,0,55
PU00-PEACE CORPS,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,892,0,0,893,0,894
QQ00-OFFICE OF NATIONAL DRUG CONTROL POLICY,52,2,10,0,0,0,0,8,2,0,74,0,3,0,5,0,3,3,0,0,14,0,88
RE00-OFFICE OF NAVAJO AND HOPI INDIAN RELOCATION,33,2,1,0,0,0,0,1,0,0,37,0,0,0,0,1,0,0,0,0,1,0,38
RF00-FEDERAL RETIREMENT THRIFT INVESTMENT BOARD,95,36,5,0,0,0,9,10,0,0,155,1,0,0,0,0,2,3,0,0,6,0,161
RH00-ARMED FORCES RETIREMENT HOME,187,101,0,0,0,0,3,0,0,0,291,2,0,0,0,0,0,2,0,0,4,0,295
RO00-MEDICAID AND CHIP PAYMENT AND ACCESS COMMISSION,0,0,0,0,0,0,12,0,0,0,12,0,0,0,0,0,0,30,0,0,30,0,42
RR00-RAILROAD RETIREMENT BOARD,795,100,0,0,0,0,1,9,0,0,905,6,0,0,0,0,3,1,0,0,10,0,915
RS00-FEDERAL MINE SAFETY AND HEALTH REVIEW COMMISSION,27,3,13,0,0,0,0,2,0,0,45,4,16,0,3,0,5,0,0,0,28,0,73
RZ00-RECOVERY ACT ACCOUNTABILITY & TRANSPARENCY BOARD,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,32,0,0,33,0,33
SB00-SMALL BUSINESS ADMINISTRATION,2169,377,202,6,15,0,25,44,10,0,2848,1859,107,6,33,4,2,51,0,0,2062,0,4910
SE00-SECURITIES AND EXCHANGE COMMISSION,1871,367,1733,1,6,0,6,0,0,0,3984,12,100,0,14,19,5,1,0,0,151,0,4135
SK00-CONSUMER PRODUCT SAFETY COMMISSION,398,46,34,1,0,0,0,14,2,0,495,1,1,0,12,9,5,1,0,0,29,0,524
SM01-NATIONAL GALLERY OF ART,637,169,9,0,0,0,17,0,0,0,832,2,0,0,0,1,0,0,0,0,3,0,835
SM02-WOODROW WILSON INTERNATIONAL CENTER FOR SCHOLARS,26,9,0,0,0,0,0,0,0,0,35,0,9,0,0,0,0,1,0,0,10,0,45
SM03-SMITHSONIAN INSTITUTION (EXCEPT UNITS ADMINISTERED UNDER SEPARATE BOARDS OF TRUSTEES),3411,384,45,7,0,0,54,0,0,0,3901,57,2,6,0,0,0,3,0,0,68,0,3969
SM04-JOHN F. KENNEDY CENTER FOR THE PERFORMING ARTS,37,12,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,0,0,49
SS00-SELECTIVE SERVICE SYSTEM,92,24,2,0,0,0,0,1,1,0,120,0,48,0,1,0,1,2,0,0,52,0,172
ST00-DEPARTMENT OF STATE,7407,2072,158,96,177,0,171,155,31,3,10270,1225,228,301,88,73,17,685,4,0,2621,0,12891
SZ00-SOCIAL SECURITY ADMINISTRATION,54767,1870,3079,6,2,0,760,146,4,0,60634,1572,308,0,1,0,2,22,4,0,1909,0,62543
TB00-NATIONAL TRANSPORTATION SAFETY BOARD,332,35,10,2,0,0,1,15,1,0,396,5,0,0,0,0,5,4,0,0,14,0,410
TC00-U.S. INTERNATIONAL TRADE COMMISSION,210,41,62,0,4,0,0,8,0,0,325,14,10,10,18,4,6,0,1,0,63,0,388
TD01-OFFICE OF THE SECRETARY OF TRANSPORTATION,454,101,62,3,5,0,10,28,10,0,673,11,7,0,23,13,5,5,0,0,64,0,737
TD03-FEDERAL AVIATION ADMINISTRATION,0,0,0,0,0,0,45658,0,0,0,45658,0,0,0,3,0,2,242,0,0,247,0,45905
TD04-FEDERAL HIGHWAY ADMINISTRATION,2425,264,68,18,41,0,5,45,3,0,2869,5,0,0,1,0,1,0,0,1,8,0,2877
TD05-FEDERAL RAILROAD ADMINISTRATION,667,144,41,0,6,0,4,10,2,0,874,4,0,0,2,3,1,0,1,0,11,0,885
TD06-SAINT LAWRENCE SEAWAY DEVELOPMENT CORPORATION,93,22,3,1,0,0,0,2,0,0,121,1,0,0,0,0,1,0,2,0,4,0,125
TD09-FEDERAL TRANSIT ADMINISTRATION,380,66,34,5,2,0,1,18,2,0,508,7,1,1,1,3,1,0,0,0,14,0,522
TD10-NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,476,60,24,0,0,0,1,22,2,0,585,8,1,0,2,0,1,0,0,0,12,0,597
TD11-RESEARCH AND INNOVATIVE TECHNONOGY ADMINSTRATION,553,53,13,3,13,0,2,10,2,0,649,42,4,1,1,3,0,1,0,0,52,0,701
TD12-OFFICE OF INSPECTOR GENERAL,336,20,10,1,0,0,1,12,0,0,380,4,0,2,0,4,1,7,0,0,18,0,398
TD13-MARITIME ADMINISTRATION,516,92,96,4,0,0,16,13,2,0,739,0,78,0,1,0,0,8,0,0,87,0,826
TD15-SURFACE TRANSPORTATION BOARD,71,11,38,0,1,0,5,6,0,0,132,2,0,0,0,0,3,2,0,0,7,0,139
TD16-PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATION,322,49,26,7,4,0,7,9,2,0,426,0,7,0,1,0,1,0,0,0,9,0,435
TD17-FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,913,122,37,0,0,0,6,15,2,0,1095,0,0,0,1,12,2,6,0,0,21,0,1116
TN00-OFFICE OF THE U.S. TRADE REPRESENTATIVE,126,14,18,0,0,0,0,20,2,0,180,0,2,0,5,0,4,38,0,0,49,0,229
TR36-SPECIAL INSPECTOR GENERAL FOR THE TROUBLED ASSETS RELIEF PROGRAM (TARP),70,55,13,1,0,0,0,6,0,0,145,21,0,0,0,0,1,0,1,0,23,0,168
TR40-ALCOHOL AND TOBACCO TAX AND TRADE BUREAU,423,18,17,1,0,0,1,7,0,0,467,1,0,0,0,0,0,0,0,0,1,0,468
TR91-DEPARTMENTAL OFFICES,1053,306,163,21,11,0,13,82,29,0,1678,102,113,2,42,14,20,4,4,0,301,0,1979
TR93-INTERNAL REVENUE SERVICE,76024,4845,1876,27,32,0,138,267,0,0,83209,400,17,9,0,2,1,27,1,0,457,0,83666
TR95-OFFICE OF INSPECTOR GENERAL,129,25,4,0,1,0,1,6,0,0,166,12,0,0,0,0,1,0,1,0,14,0,180
TRAA-FINANCIAL MANAGEMENT SERVICE,1193,114,20,8,1,0,16,18,0,0,1370,26,2,14,0,2,0,0,0,0,44,0,1414
TRAB-BUREAU OF THE PUBLIC DEBT,1693,212,23,19,16,0,15,13,0,0,1991,2,0,1,0,0,0,0,0,0,3,0,1994
TRAD-U.S. MINT,1452,167,16,1,0,0,7,9,0,0,1652,56,0,1,0,1,0,0,0,0,58,0,1710
TRAF-FINANCIAL CRIMES ENFORCEMENT NETWORK,231,12,16,0,0,0,0,7,0,0,266,27,0,0,0,0,0,0,0,0,27,0,293
TRAI-BUREAU OF ENGRAVING AND PRINTING,1612,195,18,9,0,0,16,8,0,0,1858,57,0,2,0,0,0,2,0,0,61,0,1919
TRAJ-OFFICE OF THE COMPTROLLER OF THE CURRENCY,957,171,398,2334,30,0,11,0,0,0,3901,15,16,15,0,1,1,1,0,0,49,0,3950
TRTG-OFFICE OF THE INSPECTOR GENERAL FOR TAX ADMINISTRATION,698,28,13,1,0,0,0,15,0,0,755,2,0,0,0,0,1,0,0,0,3,0,758
TS00-OFFICE OF SCIENCE AND TECHNOLOGY POLICY,9,0,2,0,0,0,0,1,2,0,14,0,8,0,5,0,3,1,0,0,17,0,31
UJ00-JAPAN-UNITED STATES FRIENDSHIP COMMISSION,3,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,9,0,0,9,0,13
UT00-UTAH RECLAMATION MITIGATION AND CONSERVATION COMMISSION,0,0,1,0,0,0,9,0,0,0,10,0,0,0,0,0,3,1,0,0,4,0,14
VAAA-OFFICE OF THE SECRETARY,353,78,17,0,2,0,14,12,6,0,482,10,1,1,8,2,0,4,1,0,27,1,510
VAAD-BOARD OF VETERANS APPEALS,75,39,444,1,4,26,31,4,0,0,624,5,9,1,0,1,0,2,0,0,18,0,642
VAAE-GENERAL COUNSEL,212,15,394,1,0,0,43,30,0,0,695,3,9,0,0,0,1,1,0,0,14,0,709
VAAF-INSPECTOR GENERAL,580,25,4,0,9,0,9,14,0,0,641,0,0,1,0,0,1,0,0,0,2,0,643
VABA-IMMEDIATE OFFICE OF THE ASSISTANT SECRETARY FOR HUMAN RESOURCES AND ADMINISTRATION,7,1,0,0,0,0,0,1,0,0,9,0,0,0,0,0,1,0,0,0,1,0,10
VABC-ASSISTANT SECRETARY FOR HUMAN RESOURCES MANAGEMENT,180,21,5,3,3,0,8,1,0,0,221,5,0,1,0,0,0,0,0,0,6,0,227
VABD-ASSISTANT SECRETARY FOR DIVERSITY & INCLUSION,15,7,0,0,0,0,0,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,23
VABE-DEPUTY ASSISTANT SECRETARY FOR ADMINISTRATION,74,8,4,0,0,0,5,2,0,0,93,5,0,0,0,0,0,0,0,0,5,0,98
VABF-DEPUTY ASSISTANT SECRETARY FOR OFFICE OF RESOLUTION MANAGEMENT,221,21,3,1,1,0,11,2,0,0,260,4,0,0,0,1,0,1,0,0,6,0,266
VABG-DEPUTY ASSISTANT SECRETARY FOR CORPORATE SENIOR EXECUTIVE MANAGEMENT,24,4,0,0,1,0,0,0,0,0,29,1,0,0,0,0,0,0,0,0,1,0,30
VABH-DEPUTY ASSISTANT SECRETARY FOR LABOR MANAGEMENT RELATIONS,13,0,1,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,14
VABI-DEAN FOR VA LEARNING UNIVERSITY,42,13,1,2,0,0,2,1,0,0,61,4,0,1,0,0,0,1,0,0,6,0,67
VABJ-VETERAN EMPLOYMENT SERVICES OFFICE,20,11,1,0,1,0,8,0,0,0,41,2,0,0,0,0,0,0,0,0,2,0,43
VADA-IMMEDIATE OFFICE OF THE ASSISTANT SECRETARY FOR MANAGEMENT,44,15,2,2,4,0,0,4,0,0,71,0,0,0,0,0,0,0,0,0,0,0,71
VADC-DEPUTY ASSISTANT SECRETARY FOR BUDGET,20,2,0,0,0,0,1,3,0,0,26,0,0,0,0,0,0,0,0,0,0,0,26
VADD-DEPUTY ASSISTANT SECRETARY FOR FINANCE,497,116,4,4,3,0,34,7,0,0,665,9,1,0,0,1,0,1,0,0,12,0,677
VADG-DEPUTY ASSISTANT SECRETARY FOR ACQUISITION AND MATERIEL MANAGEMENT,774,142,10,5,5,0,47,11,0,0,994,11,0,0,0,0,0,0,0,0,11,0,1005
VAEA-IMMEDIATE OFFICE OF THE ASSISTANT SECRETARY FOR INFORMATION AND TECHNOLOGY,66,5,1,0,0,0,1,1,0,0,74,0,0,0,0,0,0,0,0,0,0,0,74
VAEB-DEPUTY ASSISTANT SECRETARY FOR INFORMATION AND TECHNOLOGY,6332,1085,32,14,4,0,315,16,0,0,7798,33,9,5,0,6,0,9,0,0,62,1,7861
"VAGA-IMMEDIATE OFFICE OF THE ASSISTANT SECRETARY FOR OPERATIONS, SECURITY, AND PREPAREDNESS",6,0,0,0,0,0,2,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,8
VAGB-DEPUTY ASSISTANT SECRETARY FOR SECURITY AND LAW ENFORCEMENT,68,20,1,0,0,0,4,1,0,0,94,6,0,0,0,0,0,0,0,0,6,0,100
VAGC-DEPUTY ASSISTANT SECRETARY FOR EMERGENCY MANAGEMENT,30,10,2,0,0,0,9,1,0,0,52,3,0,0,0,0,0,0,0,0,3,0,55
VAHA-IMMEDIATE OFFICE OF THE ASSISTANT SECRETARY FOR POLICY AND PLANNING,30,22,0,2,0,0,5,4,0,0,63,1,0,0,0,0,0,0,0,0,1,0,64
VAHB-DEPUTY ASSISTANT SECRETARY FOR PROGRAM AND DATA ANALYSIS,23,5,0,0,0,0,0,3,0,0,31,0,0,0,0,0,0,0,0,0,0,0,31
VAHC-DEPUTY ASSISTANT SECRETARY FOR PLANNING AND EVALUATION,8,2,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,10
VAHD-NATIONAL CENTER FOR VETERAN ANALYSIS AND STATISTICS,3,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,4
