,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Non-permanent,Unspecified,Type of Appointment - All
NV65-NAVAL METEOROLOGY AND OCEANOGRAPHY CMD,1119,142,5,23,0,8,1,0,0,1298,12,1,22,0,0,1,0,0,36,0,1334
NV69-NAVAL SECURITY GROUP COMMAND,267,32,8,3,0,192,0,0,0,502,9,1,0,0,0,2,0,0,12,0,514
"NV70-U.S. PACIFIC FLEET, COMMANDER IN CHIEF",11499,1464,21,388,0,163,4,0,0,13539,193,199,90,0,0,5,0,0,487,0,14026
NV72-NAVAL RESERVE FORCE,1160,117,3,0,0,45,0,0,0,1325,94,0,2,0,0,2,0,0,98,0,1423
NV74-NAVAL SPECIAL WARFARE COMMAND,201,21,1,1,0,20,0,0,0,244,10,0,0,0,0,0,0,0,10,0,254
OM-OFFICE OF PERSONNEL MANAGEMENT,2171,327,961,35,0,6,28,6,0,3534,18,4,59,20,3,7,7,0,118,0,3652
OS-OCCUPATIONAL SAFETY & HEALTH REVIEW CMSN,32,3,10,0,0,6,2,0,0,53,0,3,0,2,2,0,0,0,7,0,60
PU-PEACE CORPS,0,0,0,0,0,29,0,0,0,29,0,0,0,0,0,815,0,0,815,0,844
QQ-OFFICE OF NATIONAL DRUG CONTROL POLICY,58,10,12,0,0,1,10,2,0,93,0,1,7,9,5,23,0,0,45,0,138
RE-OFC OF NAVAJO AND HOPI INDIAN RELOCATION,54,0,0,0,0,0,2,0,0,56,2,0,0,0,0,0,0,0,2,0,58
RF-FED RETIREMENT THRIFT INVESTMENT BOARD,80,7,3,0,0,1,7,0,0,98,0,1,7,0,0,5,0,0,13,0,111
RH-ARMED FORCES RETIREMENT HOME,536,135,5,0,0,7,0,0,0,683,2,36,0,0,0,17,0,0,55,0,738
RR-RAILROAD RETIREMENT BOARD,1109,38,0,0,0,3,11,0,0,1161,0,0,0,0,3,1,0,0,4,0,1165
RS-FED MINE SAFETY AND HEALTH REVIEW CMSN,19,3,6,0,0,2,1,0,0,31,0,2,0,2,1,0,0,0,5,0,36
SB-SMALL BUSINESS ADMINISTRATION,2789,185,214,1,0,5,37,12,0,3243,207,350,8,32,4,35,1,0,637,0,3880
SE-SECURITIES AND EXCHANGE COMMISSION,1382,270,1273,0,0,1,0,0,0,2926,9,36,36,15,5,0,0,0,101,0,3027
SK-CONSUMER PRODUCT SAFETY COMMISSION,369,39,29,0,0,0,11,1,0,449,1,2,9,7,3,0,1,0,23,0,472
SM-SMITHSONIAN INSTITUTION,3810,746,31,0,0,91,0,0,0,4678,336,10,16,0,0,4,0,0,366,0,5044
SS-SELECTIVE SERVICE SYSTEM,145,11,1,0,0,3,1,1,0,162,0,55,0,0,1,2,0,0,58,0,220
ST00-DEPARTMENT OF STATE,5059,1204,197,78,0,7044,117,31,0,13730,1176,106,356,104,31,6164,7,0,7944,7,21681
SZ-SOCIAL SECURITY ADMINISTRATION,53366,6045,1277,1401,0,1015,115,7,0,63226,497,177,703,4,5,34,2,0,1422,0,64648
TB-NATIONAL TRANSPORTATION SAFETY BOARD,332,50,5,7,0,0,11,0,0,405,7,2,4,5,3,0,0,0,21,0,426
TC-U.S. INTERNATIONAL TRADE COMMISSION,250,36,57,1,0,0,8,0,0,352,1,5,3,10,5,0,1,0,25,0,377
TD01-OFC OF SEC OF TRANSPORTATION,383,33,44,0,0,23,33,10,0,526,8,2,16,28,8,67,1,0,130,0,656
TD02-U.S. COAST GUARD,4777,948,81,33,0,80,10,1,0,5930,369,8,61,0,0,39,0,0,477,0,6407
TD03-FEDERAL AVIATION ADMINISTRATION,0,0,3,0,0,54410,0,0,0,54413,0,0,0,0,0,737,0,0,737,0,55150
TD04-FEDERAL HIGHWAY ADMINISTRATION,2273,455,40,29,0,10,43,4,0,2854,23,2,42,4,1,4,0,0,76,0,2930
TD05-FEDERAL RAILROAD ADMINISTRATION,602,96,30,0,0,5,11,2,0,746,0,1,11,0,1,2,0,0,15,0,761
TD06-ST. LAWRENCE SEAWAY DEV CORP,125,19,1,0,0,3,2,0,0,150,4,1,2,0,1,0,0,0,8,0,158
TD09-FEDERAL TRANSIT ADMINISTRATION,412,53,26,2,0,4,13,2,0,512,3,3,0,1,1,6,0,0,14,0,526
TD10-NAT HIGHWAY TRAFFIC SAFETY ADM,509,106,19,0,0,3,22,2,0,661,1,0,19,4,1,2,0,0,27,0,688
TD11-RESEARCH AND SPECIAL PROGRAMS ADM,655,164,26,44,0,10,15,0,0,914,25,16,14,2,1,7,0,0,65,0,979
TD12-OFFICE OF INSPECTOR GENERAL,359,65,7,8,0,11,10,0,0,460,1,4,8,0,1,6,0,0,20,0,480
TD13-MARITIME ADMINISTRATION,674,49,78,0,0,0,14,1,0,816,6,44,13,3,1,0,0,0,67,0,883
TD15-SURFACE TRANSPORTATION BOARD,79,10,9,0,0,25,6,0,0,129,2,1,2,0,2,5,0,0,12,0,141
TD16-BUREAU OF TRANSPORTATION STATISTICS,83,33,2,0,0,1,2,0,0,121,0,0,3,0,1,2,0,0,6,0,127
TD17-FEDERAL MOTOR CARRIER SAFETY ADMIN,617,333,20,0,0,3,11,0,0,984,9,0,0,0,1,0,0,0,10,0,994
TD18-TRANSPORTATION ADMINISTRATIVE SRVC CTR,216,33,0,1,0,0,4,0,0,254,10,1,6,0,0,1,0,0,18,0,272
TD19-TRANSPORTATION SECURITY ADMINISTRATION,0,0,0,0,0,31292,0,0,0,31292,0,0,0,0,0,373,0,0,373,1,31666
TD20-NAT CMSN TO ENSURE CONSUMER INFO/CHOICE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1
TN-OFFICE OF THE U.S. TRADE REPRESENTATIVE,93,21,27,0,0,15,17,6,0,179,0,0,3,6,5,1,0,0,15,0,194
TR35-OFFICE OF THRIFT SUPERVISION,204,78,648,0,0,4,0,0,0,934,1,3,0,0,1,0,0,0,5,0,939
"TR40-BUREAU OF ALCOHOL, TOBACCO AND FIREARMS",4111,420,84,1,0,53,33,0,0,4702,4,1,404,0,0,19,0,0,428,0,5130
TR91-DEPARTMENTAL OFFICES,1006,153,85,1,0,11,67,23,0,1346,35,63,29,29,20,10,7,0,193,0,1539
TR93-INTERNAL REVENUE SERVICE,81702,11989,1958,58,0,218,279,0,1,96205,1637,58,275,0,2,45,0,0,2017,0,98222
TR95-OFFICE OF INSPECTOR GENERAL,219,43,4,0,0,1,8,0,0,275,0,0,16,0,1,0,0,0,17,0,292
TRAA-FINANCIAL MANAGEMENT SERVICE,1815,187,15,12,0,13,22,0,0,2064,46,5,25,0,0,34,0,0,110,0,2174
TRAB-BUREAU OF THE PUBLIC DEBT,1584,236,18,15,0,13,11,0,0,1877,19,1,7,0,0,0,0,0,27,0,1904
TRAC-U.S. SECRET SERVICE,3771,230,10,5,0,25,39,0,0,4080,25,5,1722,0,0,9,0,0,1761,0,5841
TRAD-U.S. MINT,1938,384,12,3,0,16,5,0,0,2358,32,1,11,0,1,1,1,0,47,0,2405
TRAF-U.S. CUSTOMS SERVICE,16868,2666,274,439,0,310,70,2,0,20629,279,113,808,0,1,113,4,1,1319,0,21948
TRAH-FEDERAL LAW ENFORCEMENT TRAINING CENTER,582,59,0,6,0,13,5,0,0,665,88,5,1,0,0,72,0,0,166,0,831
TRAI-BUREAU OF ENGRAVING AND PRINTING,2146,245,23,1,0,17,9,0,0,2441,9,0,65,0,0,0,0,0,74,0,2515
TRAJ-OFC OF COMPTROLLER OF CURRENCY,727,51,120,1855,0,13,0,0,0,2766,20,6,9,0,1,0,0,0,36,0,2802
TRTG-OFC OF INSPECTOR GENERAL FOR TAX ADMIN,883,36,12,6,0,2,12,0,0,951,3,0,2,0,0,0,0,0,5,0,956
TS-OFFICE OF SCIENCE AND TECHNOLOGY POLICY,9,0,7,0,0,0,2,1,0,19,0,0,0,3,3,1,0,0,7,0,26
UJ-JAPAN-UNITED STATES FRIENDSHIP CMSN,3,0,0,0,0,0,1,0,0,4,0,0,0,0,0,9,0,0,9,0,13
UT-UTAH RECLAMATN MITIGATN & CONSERVTN CMSN,0,0,0,0,0,14,0,0,0,14,0,0,0,0,2,3,0,0,5,0,19
VAAA-OFFICE OF THE SECRETARY,33,2,15,0,0,2,2,3,0,57,3,0,0,1,1,1,0,0,6,3,66
VAAC-BOARD OF CONTRACT APPEALS,3,1,6,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11
VAAD-BOARD OF VETERANS APPEALS,129,26,286,0,0,11,1,0,0,453,7,1,0,0,0,0,0,0,8,0,461
VAAE-GENERAL COUNSEL,259,38,321,0,0,63,13,0,0,694,6,5,0,0,1,0,0,0,12,1,707
VAAF-INSPECTOR GENERAL,351,30,1,0,0,8,11,0,0,401,4,0,0,0,1,0,0,0,5,1,407
VAAH-OFC OF SMALL AND DISADV BUS UTILIZATION,11,0,0,0,0,0,0,0,0,11,0,0,0,1,0,0,0,0,1,0,12
VABA-IMMED OFC OF ASST SEC FOR HUMN RES & ADM,5,0,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,0,1,0,7
VABB-DEP ASST SEC FOR SECURITY AND LAW ENFORC,30,3,0,0,0,4,1,0,0,38,5,0,0,0,0,0,0,0,5,0,43
VABC-DEPY ASST SEC FOR HUMAN RESOURCES MGT,120,20,1,0,0,0,2,0,0,143,6,0,5,0,0,0,0,0,11,0,154
VABD-DEPUTY ASST SEC FOR EQUAL OPPORTUNITY,10,0,0,0,0,1,1,0,0,12,3,0,1,0,0,1,0,0,5,0,17
VABE-DEPUTY ASSISTANT SECRETARY FOR ADMIN,128,8,3,0,0,7,2,0,0,148,5,0,2,0,0,0,0,0,7,0,155
VABF-DEP ASST SEC FOR OFC OF RESOLUTION MGT,236,8,2,1,0,8,1,0,0,256,13,0,0,0,0,0,0,0,13,0,269
VABG-SHARED SERVICE CENTER,92,84,0,0,0,0,0,0,0,176,5,0,0,0,0,0,0,0,5,0,181
VADA-IMMED OFC OF THE ASST SEC FOR MANAGEMENT,4,0,0,0,0,1,1,0,0,6,1,0,0,0,0,0,0,0,1,0,7
VADC-DEPUTY ASSISTANT SECRETARY FOR BUDGET,21,2,0,0,0,2,1,0,0,26,0,0,0,0,0,0,0,0,0,0,26
VADD-DEPUTY ASST SEC FOR FINANCE,427,41,1,3,0,8,5,0,0,485,4,0,1,0,0,0,0,0,5,0,490
VADG-DEP ASST SEC FOR ACQUIS AND MATERIEL MGT,321,42,1,1,0,12,4,0,0,381,6,0,2,0,0,0,0,0,8,0,389
VAEA-IMMED OFC OF ASST SEC FOR INFO AND TECH,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,2
VAEB-DEP ASST SEC FOR INFO AND TECHNOLOGY,436,47,4,2,0,26,3,0,0,518,2,0,0,0,0,0,0,0,2,0,520
VAHA-IMMED OFC OF ASST SEC FOR POLICY & PLANG,3,2,0,0,0,0,2,2,0,9,0,0,0,0,0,0,0,0,0,0,9
VAHB-DEP ASST SEC FOR PROGRAM & DATA ANALYSIS,11,2,0,0,0,1,2,0,0,16,0,0,0,0,0,0,0,0,0,0,16
VAHC-DEP ASST SEC FOR PLANNING & EVALUATION,23,3,1,0,0,0,1,0,0,28,0,0,0,0,0,0,0,0,0,0,28
VAHD-NAT CTR FOR VET ANALYSIS AND STATISTICS,11,2,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13
VAJA-IMMED OFC OF ASST SEC FOR PUB & INT AFF,7,1,0,0,0,0,0,2,0,10,1,0,0,2,0,0,0,0,3,0,13
VAJB-DEP ASST SEC INTERGOV & INTERNAT AFFAIRS,8,0,0,0,0,0,0,0,0,8,0,0,1,0,0,0,0,0,1,0,9
VAJC-DEP ASST SEC FOR PUBLIC AFFAIRS,40,4,0,1,0,1,1,0,0,47,1,0,0,0,0,0,0,0,1,0,48
VAKA-IMMED OFC OF ASST SEC FOR CONG AFFAIRS,4,0,0,0,0,0,0,0,0,4,1,0,0,2,2,0,0,0,5,0,9
VAKB-DEP ASST SEC FOR CONGRESSIONAL AFFAIRS,12,1,0,0,0,1,0,0,0,14,0,0,0,1,0,0,0,0,1,0,15
VALA-VETERANS BENEFITS ADMINISTRATION,9906,2409,38,36,0,476,48,0,0,12913,239,73,81,0,1,5,1,0,400,7,13320
VAPA-NATIONAL CEMETERY ADMINISTRATION,1011,210,1,6,0,81,4,1,0,1314,167,4,2,0,0,4,0,0,177,1,1492
VATA-VETERANS HEALTH ADMINISTRATION,94736,17245,928,197,0,69642,162,1,0,182911,5451,507,1456,8,1,13615,1,0,21039,9,203959
ZL-MEDICARE PAYMENT ADVISORY COMMISSION,0,0,0,0,0,32,0,0,0,32,0,0,0,0,0,17,0,0,17,0,49
ZP-U.S. CMSN ON INTERNATL RELIGIOUS FREEDOM,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,20,0,0,20,0,23
ZS-UNITED STATES-CHINA SECURITY REVIEW CMSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,24,0,0,25,0,25
ZT-CMSN ON AFFORDABLE HOUSING AND HEALTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,17,0,17
ZW-COMMISSION ON OCEAN POLICY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,14,0,0,23,0,23
