Department,Sub-Department,Sub-Sub-Department,Location,Position,Name,Apt_Type,Pay_Plan,Lvl_grade_pay,Tenure,Expiration,Additional_Note,Additional_Note_2,Additional_Note3,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Field Services,"Albany, NY..................",Division,Career Incumbent.....................,CA,ES,..........,..........,................,"Administrator, New",York.,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL HIGHWAY ADMINISTRATION,Field Services,"Lakewood, CO................",Director of Technical,......do.............................,CA,ES,..........,..........,................,Services.,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,Administrator,"Washington, DC..............",Administrator.........,Anne S. Ferro........................,PAS,EX,III,..........,................,,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,Administrator,Do......................,Deputy Administrator..,William A. Bronrott..................,NA,ES,..........,..........,................,,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,Administrator,Do......................,Director for,John W. Drake........................,SC,GS,15,..........,................,Governmental Affairs.,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,Administrator,Do......................,Director of,Candice Tolliver.....................,SC,GS,14,..........,................,Communications.,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,Chief Counsel,Do......................,Chief Counsel.........,Vacant...............................,........,ES,..........,..........,................,,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,Chief Counsel,Do......................,Deputy Chief Counsel..,Career Incumbent.....................,CA,ES,..........,..........,................,,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,Administration,Do......................,Associate,......do.............................,CA,ES,..........,..........,................,Administrator for,Administration.,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,"Research, Technology Management and Chief Information Officer",Do......................,Associate,......do.............................,CA,ES,..........,..........,................,Administrator.,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,"Research, Technology Management and Chief Information Officer",Do......................,"Director, Office of",......do.............................,CA,ES,..........,..........,................,Analysis Research and,Technology.,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,Policy and Program Development,Do......................,Associate,......do.............................,CA,ES,..........,..........,................,Administrator.,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,Policy and Program Development,Do......................,"Director, Office of",Vacant...............................,........,ES,..........,..........,................,"Policy, Plans and",Regulations.,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,Enforcement and Program Delivery,Do......................,Associate,Career Incumbent.....................,CA,ES,..........,..........,................,Administrator.,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,Enforcement and Program Delivery,Do......................,"Director, Office of",......do.............................,CA,ES,..........,..........,................,Motor Carrier Safety,Programs.,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,Field Operations,Do......................,Associate,......do.............................,CA,ES,..........,..........,................,Administrator for,Field Operations.,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,Field Operations,"Baltimore, MD...............",Field Administrator -,Vacant...............................,........,ES,..........,..........,................,Eastern Region.,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,Field Operations,"Lakewood, CO................",Field Administrator -,Career Incumbent.....................,CA,ES,..........,..........,................,Western Region.,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL RAILROAD ADMINISTRATION,Administrator,"Washington, DC..............",Administrator.........,Joseph C. Szabo......................,PAS,EX,III,..........,................,,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL RAILROAD ADMINISTRATION,Administrator,Do......................,Deputy Administrator..,Karen J. Hedlund.....................,NA,ES,..........,..........,................,,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL RAILROAD ADMINISTRATION,Chief Counsel,Do......................,Chief Counsel.........,Melissa L. Porter....................,NA,ES,..........,..........,................,,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL RAILROAD ADMINISTRATION,Chief Counsel,Do......................,Deputy Chief Counsel..,Career Incumbent.....................,CA,ES,..........,..........,................,Communication and,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL RAILROAD ADMINISTRATION,Legislative Affairs,Do......................,Associate,Kevin F. Thompson....................,SC,GS,15,..........,................,Administrator.,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL RAILROAD ADMINISTRATION,Legislative Affairs,Do......................,Associate Director of,Nathan J. Robinson...................,SC,GS,12,..........,................,Congressional Affairs.,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL RAILROAD ADMINISTRATION,Administration and Finance,Do......................,Associate,Career Incumbent.....................,CA,ES,..........,..........,................,Administrator for,Administration.,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL RAILROAD ADMINISTRATION,Railroad Policy and Development,Do......................,Associate,......do.............................,CA,ES,..........,..........,................,Administrator.,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL RAILROAD ADMINISTRATION,Railroad Policy and Development,Do......................,"Director, Office of",......do.............................,CA,ES,..........,..........,................,Research and,Development.,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL RAILROAD ADMINISTRATION,Railroad Policy and Development,Do......................,"Director, Rail Project",......do.............................,CA,ES,..........,..........,................,Development and,Delivery.,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL RAILROAD ADMINISTRATION,Railroad Policy and Development,Do......................,Senior Project Manager,Vacant...............................,........,ES,..........,..........,................,for California High-,Speed Rail Corridor.,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL RAILROAD ADMINISTRATION,Railroad Policy and Development,Do......................,"Director, Office of",......do.............................,........,ES,..........,..........,................,Passenger and Freight,Programs.,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL RAILROAD ADMINISTRATION,Railroad Safety,Do......................,Deputy Associate,......do.............................,........,ES,..........,..........,................,Administrator for,Safety Compliance and,Program,Implementation.,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL RAILROAD ADMINISTRATION,Railroad Safety,Do......................,Deputy Associate,Career Incumbent.....................,CA,ES,..........,..........,................,Administrator for,Regulatory and,Legislative,Operations.,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL RAILROAD ADMINISTRATION,Railroad Safety,Do......................,"Director, Office of",......do.............................,CA,ES,..........,..........,................,Safety Compliance and,Assurance.,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL RAILROAD ADMINISTRATION,Railroad Safety,Do......................,"Director, Office of",......do.............................,CA,ES,..........,..........,................,"Safety Analysis, Risk",Reduction and,Crossing/Trespasser,Programs.,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL TRANSIT ADMINISTRATOR,Administrator,"Washington, DC..............",Administrator.........,Peter M. Rogoff......................,PAS,EX,III,..........,................,,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL TRANSIT ADMINISTRATOR,Administrator,Do......................,Deputy Administrator..,Therese W. McMillan..................,NA,ES,..........,..........,................,,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL TRANSIT ADMINISTRATOR,Administrator,Do......................,Executive Director....,Career Incumbent.....................,CA,ES,..........,..........,................,,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL TRANSIT ADMINISTRATOR,Administrator,"Washington, DC..............",Associate,Brian D. Farber......................,SC,GS,15,..........,................,Administrator for,Communications and,Legislative Affairs.,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL TRANSIT ADMINISTRATOR,Chief Counsel,Do......................,Chief Counsel.........,"Dorval R. Carter, Jr.................",NA,ES,..........,..........,................,,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL TRANSIT ADMINISTRATOR,Chief Counsel,Do......................,Deputy Chief Counsel..,Career Incumbent.....................,CA,ES,..........,..........,................,,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL TRANSIT ADMINISTRATOR,Chief Counsel,Do......................,Attorney Advisor,......do.............................,CA,ES,..........,..........,................,(Special Counsel).,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL TRANSIT ADMINISTRATOR,Planning and Environment,Do......................,Associate,......do.............................,CA,ES,..........,..........,................,Administrator.,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL TRANSIT ADMINISTRATOR,Program Management,Do......................,Associate,......do.............................,CA,ES,..........,..........,................,Administrator.,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL TRANSIT ADMINISTRATOR,"Research, Demonstration and Innovation",Do......................,Associate,......do.............................,CA,ES,..........,..........,................,Administrator.,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL TRANSIT ADMINISTRATOR,Budget and Policy,Do......................,Associate,......do.............................,CA,ES,..........,..........,................,Administrator.,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL TRANSIT ADMINISTRATOR,Administration,Do......................,Associate,......do.............................,CA,ES,..........,..........,................,Administrator.,,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL TRANSIT ADMINISTRATOR,Regional Administrator,"Cambridge, MA...............",Regional,......do.............................,CA,ES,..........,..........,................,"Administrator, Region",1,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL TRANSIT ADMINISTRATOR,Regional Administrator,"New York, NY................",Regional,......do.............................,CA,ES,..........,..........,................,"Administrator, Region",2,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL TRANSIT ADMINISTRATOR,Regional Administrator,"Philadelphia, PA............",Regional,......do.............................,CA,ES,..........,..........,................,"Administrator, Region",3,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL TRANSIT ADMINISTRATOR,Regional Administrator,"Atlanta, GA.................",Regional,......do.............................,CA,ES,..........,..........,................,"Administrator, Region",4,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL TRANSIT ADMINISTRATOR,Regional Administrator,"Chicago, IL.................",Regional,......do.............................,CA,ES,..........,..........,................,"Administrator, Region",5,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL TRANSIT ADMINISTRATOR,Regional Administrator,"Dallas, TX..................",Regional,......do.............................,CA,ES,..........,..........,................,"Administrator, Region",6,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL TRANSIT ADMINISTRATOR,Regional Administrator,"Kansas City, MO.............",Regional,......do.............................,CA,ES,..........,..........,................,"Administrator, Region",7,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL TRANSIT ADMINISTRATOR,Regional Administrator,"Denver, CO..................",Regional,Vacant...............................,........,ES,..........,..........,................,"Administrator, Region",8,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL TRANSIT ADMINISTRATOR,Regional Administrator,"San Francisco, CA...........",Regional,Career Incumbent.....................,CA,ES,..........,..........,................,"Administrator, Region",9,,,,,
DEPARTMENT OF TRANSPORTATION,FEDERAL TRANSIT ADMINISTRATOR,Regional Administrator,"Seattle, WA.................",Regional,......do.............................,CA,ES,..........,..........,................,"Administrator, Region",10,,,,,
DEPARTMENT OF TRANSPORTATION,MARITIME ADMINISTRATION,Administrator,"Washington, DC..............",Administrator.........,David T. Matsuda.....................,PAS,EX,III,..........,................,,,,,,,
DEPARTMENT OF TRANSPORTATION,MARITIME ADMINISTRATION,Administrator,Do......................,Deputy Administrator..,Vacant...............................,........,ES,..........,..........,................,,,,,,,
DEPARTMENT OF TRANSPORTATION,MARITIME ADMINISTRATION,Administrator,Do......................,Associate,Career Incumbent.....................,CA,ES,..........,..........,................,Administrator for,Budget and Programs/,Chief Financial,Officer.,,,
DEPARTMENT OF TRANSPORTATION,MARITIME ADMINISTRATION,Administrator,Do......................,"Director, Office of",......do.............................,CA,ES,..........,..........,................,Policy and Plans.,,,,,,
DEPARTMENT OF TRANSPORTATION,MARITIME ADMINISTRATION,Administrator,Do......................,Senior Policy Advisor,......do.............................,CA,ES,..........,..........,................,for Community,Initiatives.,,,,,
DEPARTMENT OF TRANSPORTATION,MARITIME ADMINISTRATION,Chief Counsel,Do......................,Chief Counsel.........,Franklin R. Parker...................,NA,ES,..........,..........,................,,,,,,,
DEPARTMENT OF TRANSPORTATION,MARITIME ADMINISTRATION,Administration,Do......................,Associate,Vacant...............................,........,ES,..........,..........,................,Administrator.,,,,,,
DEPARTMENT OF TRANSPORTATION,MARITIME ADMINISTRATION,Business and Workforce Development,Do......................,Associate,Career Incumbent.....................,CA,ES,..........,..........,................,Administrator.,,,,,,
DEPARTMENT OF TRANSPORTATION,MARITIME ADMINISTRATION,Business and Workforce Development,Do......................,"Director, Office of",......do.............................,CA,ES,..........,..........,................,Cargo Preference.,,,,,,
DEPARTMENT OF TRANSPORTATION,MARITIME ADMINISTRATION, Intermodal System Development,Do......................,Associate,......do.............................,CA,ES,..........,..........,................,Administrator.,,,,,,
DEPARTMENT OF TRANSPORTATION,MARITIME ADMINISTRATION, Intermodal System Development,Do......................,Deputy Associate,......do.............................,CA,ES,..........,..........,................,Administrator.,,,,,,
DEPARTMENT OF TRANSPORTATION,MARITIME ADMINISTRATION,National Security,Do......................,Associate,......do.............................,CA,ES,..........,..........,................,Administrator.,,,,,,
DEPARTMENT OF TRANSPORTATION,MARITIME ADMINISTRATION,Merchant Marine Academy,"Kings Point, NY.............",Superintendent........,Vacant...............................,........,ES,..........,..........,................,,,,,,,
DEPARTMENT OF TRANSPORTATION,MARITIME ADMINISTRATION,Merchant Marine Academy,Do......................,Deputy Superintendent.,......do.............................,........,ES,..........,..........,................,,,,,,,
DEPARTMENT OF TRANSPORTATION,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,Administrator,"Washington, DC..............",Administrator.........,David L. Strickland..................,PAS,EX,III,..........,................,,,,,,,
DEPARTMENT OF TRANSPORTATION,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,Administrator,Do......................,Deputy Administrator..,Ronald L. Medford....................,NA,ES,..........,..........,................,,,,,,,
DEPARTMENT OF TRANSPORTATION,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,Administrator,Do......................,"Director, Office of",Chan D. Lieu.........................,SC,GS,15,..........,................,"Governmental Affairs,",Policy and Strategic,Planning.,,,,
DEPARTMENT OF TRANSPORTATION,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,Administrator,Do......................,Director of,Lynda C. Tran Reamy..................,SC,GS,15,..........,................,Communications.,,,,,,
DEPARTMENT OF TRANSPORTATION,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,Chief Counsel,Do......................,Chief Counsel.........,Oakley Kevin Vincent.................,NA,ES,..........,..........,................,,,,,,,
DEPARTMENT OF TRANSPORTATION,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,Chief Counsel,Do......................,Assistant Chief,Career Incumbent.....................,CA,ES,..........,..........,................,Counsel (Rulemaking).,,,,,,
DEPARTMENT OF TRANSPORTATION,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,Chief Counsel,Do......................,Assistant Chief,......do.............................,CA,ES,..........,..........,................,Counsel (Litigation).,,,,,,
DEPARTMENT OF TRANSPORTATION,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,Chief Counsel,Do......................,Assistant Chief,......do.............................,CA,ES,..........,..........,................,Counsel (Legislation,and General Law).,,,,,
DEPARTMENT OF TRANSPORTATION,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,Traffic Injury Control,"Washington, DC..............",Senior Associate,Career Incumbent.....................,CA,ES,..........,..........,................,Administrator.,,,,,,
DEPARTMENT OF TRANSPORTATION,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,Traffic Injury Control,Do......................,Associate,......do.............................,CA,ES,..........,..........,................,Administrator for,Program Development,and Delivery.,,,,
DEPARTMENT OF TRANSPORTATION,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,Traffic Injury Control,Do......................,Associate,......do.............................,CA,ES,..........,..........,................,Administrator for,Regional Operations,and Program Delivery.,,,,
DEPARTMENT OF TRANSPORTATION,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,Traffic Injury Control,Do......................,"Director, Office of",......do.............................,CA,ES,..........,..........,................,Impaired Driving and,Occupant Protection.,,,,,
DEPARTMENT OF TRANSPORTATION,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,Traffic Injury Control,Do......................,"Director, Office of",......do.............................,CA,ES,..........,..........,................,"Safety Programs,",Traffic Injury Control.,,,,,
DEPARTMENT OF TRANSPORTATION,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,Policy and Operations,Do......................,Senior Associate,......do.............................,CA,ES,..........,..........,................,Administrator.,,,,,,
DEPARTMENT OF TRANSPORTATION,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,Policy and Operations,Do......................,Associate,Vacant...............................,........,ES,..........,..........,................,Administrator for,"Planning,",Administrative and,,,,
DEPARTMENT OF TRANSPORTATION,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,Policy and Operations,Do......................,Associate,Career Incumbent.....................,CA,ES,..........,..........,................,Administrator for,Communications and,Consumer Information.,,,,
DEPARTMENT OF TRANSPORTATION,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,Policy and Operations,Do......................,Chief Information,......do.............................,CA,ES,..........,..........,................,Officer.,,,,,,
DEPARTMENT OF TRANSPORTATION,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,Vehicle Safety,Do......................,Senior Associate,......do.............................,CA,ES,..........,..........,................,Administrator.,,,,,,
DEPARTMENT OF TRANSPORTATION,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,Vehicle Safety,Do......................,Associate,......do.............................,CA,ES,..........,..........,................,Administrator for,Rulemaking.,,,,,
DEPARTMENT OF TRANSPORTATION,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,Vehicle Safety,Do......................,Associate,......do.............................,CA,ES,..........,..........,................,Administrator for,Vehicle Safety,Research.,,,,
DEPARTMENT OF TRANSPORTATION,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,Vehicle Safety,Do......................,Associate,......do.............................,CA,ES,..........,..........,................,Administrator for the,National Center for,Statistics and,Analysis.,,,
DEPARTMENT OF TRANSPORTATION,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,Vehicle Safety,Do......................,"Director, Strategic",......do.............................,CA,ES,..........,..........,................,Planning and Domestic,and Global,Integration Vehicle,Safety.,,,
DEPARTMENT OF TRANSPORTATION,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,Vehicle Safety,Do......................,"Director, Office of",......do.............................,CA,ES,..........,..........,................,Crash Avoidance,Standards.,,,,,
DEPARTMENT OF TRANSPORTATION,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,Vehicle Safety,Do......................,"Director,",......do.............................,CA,ES,..........,..........,................,International,"Harmonization Policy,","Fuel, Economy and",Consumer Programs.,,,
DEPARTMENT OF TRANSPORTATION,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,Vehicle Safety,"Columbus, OH................","Director, Vehicle",......do.............................,CA,ES,..........,..........,................,Research and Test,Center (Ohio).,,,,,
DEPARTMENT OF TRANSPORTATION,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,Vehicle Safety,"Washington, DC..............","Director, Office of",Vacant...............................,........,ES,..........,..........,................,Crash Avoidance and,Electronic Controls.,,,,,
DEPARTMENT OF TRANSPORTATION,NATIONAL HIGHWAY TRAFFIC SAFETY ADMINISTRATION,Vehicle Safety,Do......................,"Director, Office of",Career Incumbent.....................,CA,ES,..........,..........,................,Regulatory Analysis,and Evaluation.,,,,,
DEPARTMENT OF TRANSPORTATION,PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATION,Administrator,"Washington, DC..............",Administrator.........,Cynthia L. Quarterman................,PAS,EX,III,..........,................,,,,,,,
DEPARTMENT OF TRANSPORTATION,PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATION,Administrator,Do......................,Deputy Administrator..,Timothy P. Butters...................,NA,ES,..........,..........,................,,,,,,,
DEPARTMENT OF TRANSPORTATION,PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATION,Administrator,Do......................,Associate,Jeannie A. Layson....................,SC,GS,15,..........,................,Administrator for,"Governmental,",International and,Public Affairs.,,,
DEPARTMENT OF TRANSPORTATION,PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATION,Chief Counsel,Do......................,Chief Counsel.........,Vanessa Sutherland...................,NA,ES,..........,..........,................,,,,,,,
DEPARTMENT OF TRANSPORTATION,PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATION,Chief Counsel,Do......................,Deputy Chief Counsel..,Vacant...............................,........,ES,..........,..........,................,,,,,,,
DEPARTMENT OF TRANSPORTATION,PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATION,Pipeline Safety,Do......................,Deputy Associate,Career Incumbent.....................,CA,ES,..........,..........,................,Administrator for,Policy and Programs.,,,,,
DEPARTMENT OF TRANSPORTATION,PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATION,Hazardous Materials  Safety,Do......................,Associate,......do.............................,CA,ES,..........,..........,................,Administrator.,,,,,,
DEPARTMENT OF TRANSPORTATION,PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATION,Administration / Chief Financial Officer,Do......................,Associate,......do.............................,CA,ES,..........,..........,................,Administrator for,"Finance, Budget and",Performance,Integration/Chief,Financial Officer.,,
DEPARTMENT OF TRANSPORTATION,PIPELINE AND HAZARDOUS MATERIALS SAFETY ADMINISTRATION,Administration / Chief Financial Officer,Do......................,Deputy Associate,......do.............................,CA,ES,..........,..........,................,Administrator for,"Finance, Budget and",Performance,Integration/Deputy,Chief Financial,Officer.,
DEPARTMENT OF TRANSPORTATION,RESEARCH AND INNOVATIVE TECHNOLOGY ADMINISTRATION,Administrator,"Washington, DC..............",Administrator.........,Vacant...............................,PAS,EX,III,..........,................,,,,,,,
DEPARTMENT OF TRANSPORTATION,RESEARCH AND INNOVATIVE TECHNOLOGY ADMINISTRATION,Administrator,Do......................,Deputy Administrator..,Gregory D. Winfree...................,NA,ES,..........,..........,................,,,,,,,
DEPARTMENT OF TRANSPORTATION,RESEARCH AND INNOVATIVE TECHNOLOGY ADMINISTRATION,Administrator,Do......................,"Director, Office of",Jane E. Mellow.......................,SC,GS,15,..........,................,"Governmental,",International and,Public Affairs.,,,,
DEPARTMENT OF TRANSPORTATION,RESEARCH AND INNOVATIVE TECHNOLOGY ADMINISTRATION,Chief Counsel,Do......................,Chief Counsel.........,Ellen L. Partridge...................,NA,ES,..........,..........,................,,,,,,,
DEPARTMENT OF TRANSPORTATION,RESEARCH AND INNOVATIVE TECHNOLOGY ADMINISTRATION,Administration,"Washington, DC..............",Associate,Career Incumbent.....................,CA,ES,..........,..........,................,Administrator.,,,,,,
DEPARTMENT OF TRANSPORTATION,RESEARCH AND INNOVATIVE TECHNOLOGY ADMINISTRATION,Administration,Do......................,Associate,......do.............................,CA,ES,..........,..........,................,Administrator.,,,,,,
DEPARTMENT OF TRANSPORTATION,RESEARCH AND INNOVATIVE TECHNOLOGY ADMINISTRATION,"Research, Development and Technology",Do......................,"Director, National",......do.............................,CA,ES,..........,..........,................,Space Based Position,Navigation and Timing,Office.,,,,
DEPARTMENT OF TRANSPORTATION,RESEARCH AND INNOVATIVE TECHNOLOGY ADMINISTRATION,Volpe National Transportation Systems Center,"Cambridge, MA...............",Associate,......do.............................,CA,ES,..........,..........,................,Administrator.,,,,,,
DEPARTMENT OF TRANSPORTATION,RESEARCH AND INNOVATIVE TECHNOLOGY ADMINISTRATION,Volpe National Transportation Systems Center,Do......................,Deputy Associate,......do.............................,CA,ES,..........,..........,................,Administrator for,Operations.,,,,,
DEPARTMENT OF TRANSPORTATION,RESEARCH AND INNOVATIVE TECHNOLOGY ADMINISTRATION,Volpe National Transportation Systems Center,Do......................,Deputy Associate,......do.............................,CA,ES,..........,..........,................,Administrator for,"Research, Innovation",and Technology.,,,,
DEPARTMENT OF TRANSPORTATION,RESEARCH AND INNOVATIVE TECHNOLOGY ADMINISTRATION,Volpe National Transportation Systems Center,Do......................,Deputy Associate,......do.............................,CA,ES,..........,..........,................,Administrator for,Aviation Innovation.,,,,,
DEPARTMENT OF TRANSPORTATION,RESEARCH AND INNOVATIVE TECHNOLOGY ADMINISTRATION,Volpe National Transportation Systems Center,Do......................,"Director, Center for",Vacant...............................,........,ES,..........,..........,................,Safety Management,Systems.,,,,,
DEPARTMENT OF TRANSPORTATION,RESEARCH AND INNOVATIVE TECHNOLOGY ADMINISTRATION,Bureau of Transportation Statistics,"Washington, DC..............",Associate,Career Incumbent.....................,CA,ES,..........,..........,................,Administrator and,Director.,,,,,
DEPARTMENT OF TRANSPORTATION,RESEARCH AND INNOVATIVE TECHNOLOGY ADMINISTRATION,Bureau of Transportation Statistics,Do......................,Deputy Associate,Vacant...............................,........,ES,..........,..........,................,Administrator and,Deputy Director.,,,,,
DEPARTMENT OF TRANSPORTATION,SAINT LAWRENCE SEAWAY DEVELOPMENT CORPORATION,Administrator,"Washington, DC..............",Administrator.........,Vacant...............................,PAS,EX,IV,..........,................,,,,,,,
DEPARTMENT OF TRANSPORTATION,SAINT LAWRENCE SEAWAY DEVELOPMENT CORPORATION,Administrator,Do......................,Deputy Administrator..,Career Incumbent.....................,CA,ES,..........,..........,................,,,,,,,
DEPARTMENT OF TRANSPORTATION,SAINT LAWRENCE SEAWAY DEVELOPMENT CORPORATION,Administrator,"Massena, NY.................",Associate,Carol Fenton.........................,TA,ES,..........,..........,11/19/2014,Administrator for,Strategic Planning,and Programs.,,,,
DEPARTMENT OF TRANSPORTATION,SAINT LAWRENCE SEAWAY DEVELOPMENT CORPORATION,Associate Administrator,Do......................,Associate,Career Incumbent.....................,CA,ES,..........,..........,................,Administrator/,Resident Manager.,,,,,
DEPARTMENT OF TRANSPORTATION,SURFACE TRANSPORTATION-BOARD,Associate Administrator,,,,,,,,,,,,,,,
DEPARTMENT OF TRANSPORTATION,SURFACE TRANSPORTATION-BOARD,Chairman,"Washington, DC..............",Chairman..............,Daniel R. Elliott III................,PAS,EX,III,..........,12/31/2013,,,,,,,
DEPARTMENT OF TRANSPORTATION,SURFACE TRANSPORTATION-BOARD,Board Member,Do......................,Vice Chairman.........,Francis P. Mulvey....................,PAS,EX,IV,..........,12/31/2012,,,,,,,
DEPARTMENT OF TRANSPORTATION,SURFACE TRANSPORTATION-BOARD,Board Member,Do......................,Board Member..........,Ann Dawn Begeman.....................,PAS,EX,IV,..........,12/31/2015,,,,,,,
DEPARTMENT OF TRANSPORTATION,SURFACE TRANSPORTATION-BOARD,"Public Assistance, Governmental Affairs and Compliance",Do......................,Director..............,Career Incumbent.....................,CA,ES,..........,..........,................,General Counsel,,,,,,
