Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Non-permanent,Unspecified,Type of Appointment - All
NV41-NAVY SYSTEMS MANAGEMENT ACTIVITY,280,33,0,0,0,58,0,0,0,371,0,0,0,0,0,0,0,0,0,0,371
"NV60-U.S. ATLANTIC FLEET, COMMANDER IN CHIEF",9687,864,23,5,0,388,3,0,0,10970,195,102,12,0,0,0,0,0,309,0,11279
"NV61-U.S. NAVAL FORCES, EUROPE",416,60,4,0,0,27,0,0,0,507,66,417,1,0,0,4,0,0,488,0,995
NV62-NAVAL EDUCATION AND TRAINING COMMAND,3937,1168,18,33,0,195,2,0,0,5353,243,2,15,0,0,2,0,0,262,0,5615
NV63-NAVAL COMPUTER & TELECOMMUNICATIONS CMD,975,73,0,0,0,51,0,0,0,1099,19,17,0,0,0,0,0,0,36,0,1135
NV65-NAVAL OCEANOGRAPHY COMMAND,1104,135,4,18,0,10,2,0,0,1273,14,1,22,0,0,3,0,0,40,0,1313
NV69-NAVAL SECURITY GROUP COMMAND,576,71,0,9,0,198,0,0,0,854,18,0,0,0,0,1,0,0,19,0,873
"NV70-U.S. PACIFIC FLEET, COMMANDER IN CHIEF",11730,1207,20,291,0,184,4,0,0,13436,227,174,52,0,0,2,0,0,455,0,13891
NV72-NAVAL RESERVE FORCE,1163,120,3,1,0,52,0,0,0,1339,67,0,3,0,0,0,0,0,70,0,1409
NV74-NAVAL SPECIAL WARFARE COMMAND,209,17,1,0,0,9,0,0,0,236,9,0,0,0,0,0,0,0,9,0,245
OM-OFFICE OF PERSONNEL MANAGEMENT,2179,270,930,20,0,3,34,5,0,3441,32,2,55,11,2,9,2,0,113,0,3554
OS-OCCUPATIONAL SAFETY & HEALTH REVIEW CMSN,33,4,12,0,0,6,2,1,0,58,0,5,0,2,1,1,0,0,9,0,67
PU-PEACE CORPS,0,0,0,0,0,28,0,0,0,28,0,0,0,0,0,750,0,0,750,0,778
QQ-OFFICE OF NATIONAL DRUG CONTROL POLICY,55,16,11,0,0,1,11,0,0,94,0,2,2,3,0,12,0,0,19,0,113
RE-OFC OF NAVAJO AND HOPI INDIAN RELOCATION,55,0,0,0,0,0,2,0,0,57,3,0,0,0,0,0,0,0,3,0,60
RF-FED RETIREMENT THRIFT INVESTMENT BOARD,81,5,4,0,0,0,7,0,0,97,0,0,3,0,0,5,0,0,8,0,105
RH-ARMED FORCES RETIREMENT HOME,562,112,8,1,0,10,0,0,0,693,1,46,0,0,0,18,0,0,65,0,758
RR-RAILROAD RETIREMENT BOARD,1127,32,0,0,0,3,9,0,0,1171,2,0,0,0,3,1,0,0,6,0,1177
RS-FED MINE SAFETY AND HEALTH REVIEW CMSN,20,3,3,0,0,2,2,0,0,30,0,6,0,3,4,0,0,0,13,0,43
SB-SMALL BUSINESS ADMINISTRATION,2836,236,220,1,0,8,38,0,0,3339,285,597,6,16,2,28,7,0,941,0,4280
SE-SECURITIES AND EXCHANGE COMMISSION,1315,351,1176,0,0,1,69,1,0,2913,4,76,40,12,3,1,0,0,136,0,3049
SK-CONSUMER PRODUCT SAFETY COMMISSION,375,38,29,0,0,0,11,1,0,454,3,0,6,11,3,0,1,0,24,0,478
SM-SMITHSONIAN INSTITUTION,3811,633,29,0,0,122,0,0,0,4595,352,9,17,0,0,7,0,0,385,0,4980
SS-SELECTIVE SERVICE SYSTEM,145,10,0,0,0,4,1,1,0,161,2,56,0,0,1,2,0,0,61,0,222
ST00-DEPARTMENT OF STATE,5069,937,190,59,0,6848,114,16,1,13234,1000,93,190,48,26,5425,6,1,6789,4,20027
SZ-SOCIAL SECURITY ADMINISTRATION,53792,6253,1362,415,0,1242,114,0,0,63178,889,204,1056,2,3,43,2,0,2199,0,65377
TB-NATIONAL TRANSPORTATION SAFETY BOARD,325,46,6,5,0,2,10,1,0,395,7,0,6,2,4,2,0,0,21,0,416
TC-U.S. INTERNATIONAL TRADE COMMISSION,246,39,57,5,0,0,8,0,0,355,3,4,6,10,6,0,1,0,30,0,385
TD01-OFC OF SEC OF TRANSPORTATION,377,18,35,0,0,25,31,6,0,492,4,1,13,19,6,5,1,0,49,0,541
TD02-U.S. COAST GUARD,4769,761,78,22,0,92,9,1,0,5732,207,3,60,0,0,39,0,0,309,0,6041
TD03-FEDERAL AVIATION ADMINISTRATION,0,0,3,0,0,49846,0,0,0,49849,0,0,0,0,0,571,0,0,571,0,50420
TD04-FEDERAL HIGHWAY ADMINISTRATION,2294,405,41,22,0,6,44,0,0,2812,25,2,34,0,1,6,0,0,68,0,2880
TD05-FEDERAL RAILROAD ADMINISTRATION,597,103,30,0,0,5,12,0,0,747,3,5,12,0,1,2,1,0,24,0,771
TD06-ST. LAWRENCE SEAWAY DEV CORP,122,16,1,0,0,3,2,0,1,145,3,0,0,0,1,2,0,0,6,0,151
TD09-FEDERAL TRANSIT ADMINISTRATION,401,40,25,2,0,3,13,0,0,484,8,4,0,1,1,4,0,0,18,0,502
TD10-NAT HIGHWAY TRAFFIC SAFETY ADM,493,87,20,0,0,3,25,0,0,628,7,0,18,1,1,1,0,0,28,0,656
TD11-RESEARCH AND SPECIAL PROGRAMS ADM,645,153,21,40,0,5,18,0,0,882,30,12,13,2,1,5,0,0,63,0,945
TD12-OFFICE OF INSPECTOR GENERAL,349,77,7,0,0,2,9,0,0,444,1,2,3,0,1,1,0,0,8,0,452
TD13-MARITIME ADMINISTRATION,677,45,75,0,0,1,13,0,0,811,6,36,8,1,0,1,0,0,52,0,863
TD15-SURFACE TRANSPORTATION BOARD,79,9,7,0,0,25,6,0,0,126,2,1,2,0,3,7,0,0,15,0,141
TD16-BUREAU OF TRANSPORTATION STATISTICS,79,18,3,0,0,1,2,0,0,103,0,0,1,0,1,1,0,0,3,0,106
TD17-FEDERAL MOTOR CARRIER SAFETY ADMIN,601,150,18,0,0,3,8,0,0,780,9,0,1,0,1,1,0,0,12,0,792
TD18-TRANSPORTATION ADMINISTRATIVE SRVC CTR,234,39,0,1,0,3,4,0,0,281,19,2,7,0,0,0,0,0,28,0,309
TN-OFFICE OF THE U.S. TRADE REPRESENTATIVE,88,20,25,0,0,14,16,6,0,169,0,0,5,9,5,0,0,0,19,1,189
TR35-OFFICE OF THRIFT SUPERVISION,210,132,838,1,0,4,0,0,0,1185,2,2,1,0,1,0,0,0,6,0,1191
"TR40-BUREAU OF ALCOHOL, TOBACCO AND FIREARMS",3985,561,79,20,0,64,32,0,0,4741,4,2,309,0,0,22,0,0,337,0,5078
TR91-DEPARTMENTAL OFFICES,1035,135,89,0,0,8,70,16,0,1353,28,65,30,27,19,15,10,0,194,0,1547
TR93-INTERNAL REVENUE SERVICE,83255,12864,1928,100,0,227,272,0,2,98648,1666,49,158,0,1,55,0,0,1929,0,100577
TR95-OFFICE OF INSPECTOR GENERAL,229,17,3,0,0,1,5,0,0,255,0,1,18,0,1,0,0,0,20,0,275
TRAA-FINANCIAL MANAGEMENT SERVICE,1796,192,17,5,0,11,22,0,0,2043,62,4,15,0,0,4,0,0,85,0,2128
TRAB-BUREAU OF THE PUBLIC DEBT,1576,227,19,13,0,9,12,0,0,1856,22,0,12,0,0,0,0,0,34,0,1890
TRAC-U.S. SECRET SERVICE,3824,210,9,6,0,31,43,0,0,4123,19,4,1613,0,0,11,0,0,1647,0,5770
TRAD-U.S. MINT,1883,692,13,3,0,36,7,0,0,2634,93,1,18,0,1,1,1,0,115,0,2749
TRAF-U.S. CUSTOMS SERVICE,16777,1903,265,115,0,744,82,0,1,19887,270,127,344,0,0,67,4,0,812,0,20699
TRAH-FEDERAL LAW ENFORCEMENT TRAINING CENTER,555,37,0,6,0,15,6,0,0,619,13,0,2,0,0,0,0,0,15,0,634
TRAI-BUREAU OF ENGRAVING AND PRINTING,2194,251,19,0,0,19,10,0,0,2493,9,0,68,0,0,2,0,0,79,0,2572
TRAJ-OFC OF COMPTROLLER OF CURRENCY,713,57,119,1910,0,11,0,0,0,2810,31,5,11,0,1,0,0,0,48,0,2858
TRTG-OFC OF INSPECTOR GENERAL FOR TAX ADMIN,891,23,12,3,0,2,10,0,0,941,2,0,4,0,1,0,0,0,7,0,948
TS-OFFICE OF SCIENCE AND TECHNOLOGY POLICY,10,1,5,0,0,0,1,0,0,17,0,0,0,0,1,0,1,0,2,0,19
UJ-JAPAN-UNITED STATES FRIENDSHIP CMSN,4,0,0,0,0,0,1,0,0,5,0,0,0,0,0,5,0,0,5,0,10
UT-UTAH RECLAMATN MITIGATN & CONSERVTN CMSN,0,0,0,0,0,14,0,0,0,14,0,0,0,0,2,4,0,0,6,0,20
VAAA-OFFICE OF THE SECRETARY,33,3,16,0,0,5,2,2,0,61,6,0,0,0,1,2,0,0,9,2,72
VAAC-BOARD OF CONTRACT APPEALS,3,0,6,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
VAAD-BOARD OF VETERANS APPEALS,123,4,311,0,0,12,1,0,0,451,8,1,1,0,0,0,0,0,10,0,461
VAAE-GENERAL COUNSEL,252,26,319,0,0,69,6,0,0,672,2,5,0,0,1,1,0,0,9,1,682
VAAF-INSPECTOR GENERAL,335,32,2,0,0,5,8,0,0,382,4,0,0,0,1,0,0,0,5,2,389
VAAH-OFC OF SMALL AND DISADV BUS UTILIZATION,16,0,0,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,1,0,17
VABA-IMMED OFC OF ASST SEC FOR HUMN RES & ADM,5,0,0,0,0,0,1,0,0,6,0,0,0,0,1,0,0,0,1,0,7
VABB-DEP ASST SEC FOR SECURITY AND LAW ENFORC,27,4,0,0,0,5,1,0,0,37,2,0,0,0,0,0,0,0,2,0,39
VABC-DEPY ASST SEC FOR HUMAN RESOURCES MGT,127,9,1,0,0,0,2,0,0,139,5,0,3,0,0,0,0,0,8,0,147
VABD-DEPUTY ASST SEC FOR EQUAL OPPORTUNITY,11,0,1,0,0,1,1,0,0,14,1,0,0,0,0,0,0,0,1,0,15
VABE-DEPUTY ASSISTANT SECRETARY FOR ADMIN,123,4,2,0,0,9,2,0,0,140,1,0,1,0,0,0,0,0,2,0,142
VABF-DEP ASST SEC FOR OFC OF RESOLUTION MGT,232,9,2,1,0,8,1,0,0,253,12,1,0,0,0,0,0,0,13,0,266
VABG-SHARED SERVICE CENTER,114,124,0,0,0,1,1,0,0,240,1,0,2,0,0,0,0,0,3,0,243
VADA-IMMED OFC OF THE ASST SEC FOR MANAGEMENT,4,0,0,0,0,1,1,0,0,6,1,0,0,0,0,1,0,0,2,0,8
VADC-DEPUTY ASSISTANT SECRETARY FOR BUDGET,27,2,0,0,0,2,0,0,0,31,0,0,0,0,0,0,0,0,0,0,31
VADD-DEPUTY ASST SEC FOR FINANCE,437,32,1,1,0,7,5,0,0,483,6,0,3,0,0,0,0,0,9,0,492
VADG-DEP ASST SEC FOR ACQUIS AND MATERIEL MGT,309,18,1,2,0,10,4,0,0,344,6,2,3,0,0,0,0,0,11,0,355
VAEA-IMMED OFC OF ASST SEC FOR INFO AND TECH,4,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,0,1,0,5
VAEB-DEP ASST SEC FOR INFO AND TECHNOLOGY,439,41,6,10,0,19,3,0,0,518,2,0,0,0,0,0,0,0,2,0,520
VAHA-IMMED OFC OF ASST SEC FOR POLICY & PLANG,2,0,0,0,0,0,1,1,0,4,0,0,0,0,0,0,0,0,0,0,4
VAHB-DEP ASST SEC FOR PROGRAM & DATA ANALYSIS,11,2,0,0,0,1,2,0,0,16,0,0,0,0,0,0,0,0,0,0,16
VAHC-DEP ASST SEC FOR PLANNING & EVALUATION,23,2,0,0,0,0,1,0,0,26,0,0,0,0,0,0,0,0,0,0,26
VAHD-NAT CTR FOR VET ANALYSIS AND STATISTICS,12,1,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,13
VAJA-IMMED OFC OF ASST SEC FOR PUB & INT AFF,6,1,0,0,0,0,0,2,0,9,2,0,0,4,1,2,0,0,9,0,18
VAJB-DEP ASST SEC INTERGOV & INTERNAT AFFAIRS,9,0,0,0,0,0,1,0,0,10,1,0,0,0,0,0,0,0,1,0,11
VAJC-DEP ASST SEC FOR PUBLIC AFFAIRS,39,6,0,1,0,1,0,0,0,47,0,0,0,0,0,0,0,0,0,0,47
VAKA-IMMED OFC OF ASST SEC FOR CONG AFFAIRS,3,0,0,0,0,0,0,0,0,3,0,0,0,2,1,0,0,0,3,0,6
VAKB-DEP ASST SEC FOR CONGRESSIONAL AFFAIRS,14,1,0,0,0,1,1,0,0,17,0,0,0,0,0,0,0,0,0,0,17
VALA-VETERANS BENEFITS ADMINISTRATION,9918,1990,35,33,0,517,46,0,0,12539,329,81,78,0,1,1,0,0,490,4,13033
VAPA-NATIONAL CEMETERY ADMINISTRATION,975,176,1,6,0,93,4,1,0,1256,194,6,2,0,1,9,0,0,212,1,1469
VATA-VETERANS HEALTH ADMINISTRATION,96303,15950,1001,207,0,69973,161,1,0,183596,5975,566,1383,3,1,14799,1,0,22728,8,206332
ZL-MEDICARE PAYMENT ADVISORY COMMISSION,0,0,0,0,0,32,0,0,0,32,0,0,0,0,0,2,0,0,2,0,34
ZP-U.S. CMSN ON INTERNATL RELIGIOUS FREEDOM,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,20,0,0,20,0,23
ZQ-MILLENNIAL HOUSING COMMISSION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,7
ZS-UNITED STATES-CHINA SECURITY REVIEW CMSN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,0,0,26,0,26
ZT-CMSN ON AFFORDABLE HOUSING AND HEALTH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,19,0,19
