Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Total Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Total Non-permanent,Unspecified,All Appointments
"NV60-U.S. ATLANTIC FLEET, COMMANDER IN CHIEF",10342,750,22,8,0,436,3,0,0,11561,269,90,15,0,0,2,0,0,376,2,11939
"NV61-U.S. NAVAL FORCES, EUROPE",434,40,6,0,0,28,0,0,0,508,55,429,0,0,0,2,0,0,486,0,994
NV62-NAVAL EDUCATION AND TRAINING COMMAND,4213,950,23,34,0,183,2,0,0,5405,280,1,15,0,0,11,0,0,307,0,5712
NV63-NAVAL COMPUTER & TELECOMMUNICATIONS CMD,1042,58,0,0,0,44,0,0,0,1144,28,19,0,0,0,1,0,0,48,0,1192
NV65-NAVAL OCEANOGRAPHY COMMAND,1140,118,3,30,0,13,2,0,0,1306,28,1,36,0,0,2,0,0,67,0,1373
NV69-NAVAL SECURITY GROUP COMMAND,407,41,0,5,0,196,0,0,0,649,13,0,0,0,0,2,0,0,15,0,664
"NV70-U.S. PACIFIC FLEET, COMMANDER IN CHIEF",12378,724,16,236,0,265,4,0,0,13623,282,194,38,0,0,1,0,0,515,0,14138
NV72-NAVAL RESERVE FORCE,1496,96,4,1,0,69,0,0,0,1666,58,0,9,0,0,0,0,0,67,0,1733
NV74-NAVAL SPECIAL WARFARE COMMAND,206,11,1,0,0,8,0,0,0,226,4,0,1,0,0,0,0,0,5,0,231
OM-OFFICE OF PERSONNEL MANAGEMENT,2256,273,989,25,0,12,36,7,0,3598,51,2,52,16,3,3,2,0,129,0,3727
OS-OCCUPATIONAL SAFETY & HEALTH REVIEW CMSN,36,2,12,0,0,6,2,1,0,59,0,5,1,3,2,1,0,0,12,0,71
PC-PANAMA CANAL COMMISSION,0,0,0,0,2,0,0,0,0,2,0,0,0,0,4,0,0,0,4,0,6
PU-PEACE CORPS,0,0,0,0,0,28,0,0,0,28,0,0,0,0,0,794,0,0,794,0,822
QQ-OFFICE OF NATIONAL DRUG CONTROL POLICY,54,16,19,0,0,1,10,3,0,103,0,3,3,11,1,8,0,0,26,0,129
RE-OFC OF NAVAJO AND HOPI INDIAN RELOCATION,57,1,0,0,0,0,2,0,0,60,5,0,0,0,0,0,0,0,5,0,65
RF-FED RETIREMENT THRIFT INVESTMENT BOARD,77,5,5,0,0,2,7,0,0,96,0,0,3,0,0,4,0,0,7,0,103
RH-ARMED FORCES RETIREMENT HOME,586,90,10,1,0,20,0,0,0,707,1,47,1,0,0,16,0,0,65,0,772
RR-RAILROAD RETIREMENT BOARD,1132,19,0,0,0,4,10,0,0,1165,2,0,0,0,3,1,0,0,6,0,1171
RS-FED MINE SAFETY AND HEALTH REVIEW CMSN,19,3,5,0,0,2,2,0,0,31,1,4,1,5,3,0,1,0,15,0,46
SB-SMALL BUSINESS ADMINISTRATION,2802,361,222,1,0,12,39,10,0,3447,334,367,2,26,4,34,1,0,768,0,4215
SE-SECURITIES AND EXCHANGE COMMISSION,1303,312,1119,0,0,4,66,0,0,2804,9,77,38,19,4,1,0,0,148,0,2952
SK-CONSUMER PRODUCT SAFETY COMMISSION,382,34,28,0,0,0,9,2,0,455,2,0,9,11,3,0,0,0,25,0,480
SM-SMITHSONIAN INSTITUTION,3805,661,28,3,0,141,0,0,0,4638,372,7,22,0,0,8,0,0,409,0,5047
SS-SELECTIVE SERVICE SYSTEM,148,8,0,0,0,4,1,1,0,162,0,57,0,1,1,2,0,0,61,0,223
ST00-DEPARTMENT OF STATE,5101,837,173,43,0,7007,101,28,4,13294,889,76,139,59,28,4968,18,0,6177,24,19495
SZ-SOCIAL SECURITY ADMINISTRATION,54720,4849,1230,100,0,1221,118,9,0,62247,1048,224,958,3,3,38,0,0,2274,0,64521
TB-NATIONAL TRANSPORTATION SAFETY BOARD,304,58,7,2,0,3,8,1,0,383,9,3,11,5,5,3,0,0,36,0,419
TC-U.S. INTERNATIONAL TRADE COMMISSION,252,35,49,0,0,0,8,0,0,344,10,5,4,14,6,0,1,0,40,0,384
TD01-OFC OF SEC OF TRANSPORTATION,665,51,36,1,0,31,33,14,0,831,9,1,20,23,8,8,1,0,70,0,901
TD02-U.S. COAST GUARD,4713,664,72,27,0,159,8,1,0,5644,286,9,49,0,0,29,0,0,373,0,6017
TD03-FEDERAL AVIATION ADMINISTRATION,4,0,3,0,0,48357,0,0,12,48376,1,0,0,0,0,447,0,0,448,1,48825
TD04-FEDERAL HIGHWAY ADMINISTRATION,2888,319,50,14,0,12,48,1,1,3333,72,2,28,0,1,4,0,0,107,1,3441
TD05-FEDERAL RAILROAD ADMINISTRATION,599,74,28,0,0,4,13,2,0,720,3,6,5,1,1,1,0,0,17,0,737
TD06-ST. LAWRENCE SEAWAY DEV CORP,123,17,1,0,0,4,2,0,1,148,4,1,1,0,1,2,0,0,9,0,157
TD09-FEDERAL TRANSIT ADMINISTRATION,407,40,23,1,0,4,13,3,0,491,10,4,0,0,0,2,0,0,16,0,507
TD10-NAT HIGHWAY TRAFFIC SAFETY ADM,483,76,14,0,0,4,23,2,0,602,7,1,18,4,1,2,0,0,33,0,635
TD11-RESEARCH AND SPECIAL PROGRAMS ADM,672,110,22,23,0,7,13,1,0,848,35,15,12,2,1,4,0,0,69,0,917
TD12-OFFICE OF INSPECTOR GENERAL,336,73,6,0,0,5,7,0,0,427,7,2,4,0,1,1,0,0,15,0,442
TD13-MARITIME ADMINISTRATION,694,36,81,0,0,1,13,2,0,827,10,36,4,2,1,0,0,0,53,0,880
TD15-SURFACE TRANSPORTATION BOARD,77,8,7,0,0,28,5,0,0,125,3,1,0,0,3,7,0,0,14,0,139
TN-OFFICE OF THE U.S. TRADE REPRESENTATIVE,85,14,19,0,0,14,17,5,0,154,1,0,6,3,4,2,0,0,16,0,170
TR35-OFFICE OF THRIFT SUPERVISION,226,123,881,2,0,9,0,0,0,1241,1,3,3,0,1,1,0,0,9,0,1250
"TR40-BUREAU OF ALCOHOL, TOBACCO AND FIREARMS",3849,477,70,11,0,74,32,0,0,4513,7,3,61,0,0,1,0,0,72,0,4585
TR91-DEPARTMENTAL OFFICES,1012,108,84,0,0,9,74,27,0,1314,19,79,32,34,12,23,12,0,211,0,1525
TR93-INTERNAL REVENUE SERVICE,83512,9455,1953,75,0,248,237,0,1,95481,1791,24,140,0,2,26,0,0,1983,0,97464
TR95-OFFICE OF INSPECTOR GENERAL,212,19,3,0,0,1,8,0,0,243,0,1,5,0,1,0,0,0,7,0,250
TRAA-FINANCIAL MANAGEMENT SERVICE,1857,192,17,6,0,10,19,0,0,2101,53,6,20,0,0,0,0,0,79,0,2180
TRAB-BUREAU OF THE PUBLIC DEBT,1548,216,20,9,0,11,11,0,0,1815,25,1,11,0,0,0,0,0,37,0,1852
TRAC-U.S. SECRET SERVICE,3701,184,8,8,0,37,39,0,0,3977,25,3,1528,0,0,13,0,0,1569,0,5546
TRAD-U.S. MINT,1857,653,14,6,0,49,8,0,0,2587,245,0,31,0,1,2,0,0,279,0,2866
TRAF-U.S. CUSTOMS SERVICE,16527,1916,272,105,0,660,80,1,0,19561,270,179,181,0,1,16,3,0,650,0,20211
TRAH-FEDERAL LAW ENFORCEMENT TRAINING CENTER,506,60,0,5,0,16,7,0,0,594,13,0,2,0,0,0,0,0,15,0,609
TRAI-BUREAU OF ENGRAVING AND PRINTING,2245,226,18,0,0,20,9,0,0,2518,10,0,63,0,0,0,0,0,73,0,2591
TRAJ-OFC OF COMPTROLLER OF CURRENCY,685,66,125,1851,0,49,0,0,0,2776,38,3,9,0,1,0,0,0,51,0,2827
TRTG-OFC OF INSPECTOR GENERAL FOR TAX ADMIN,897,18,12,1,0,2,12,0,0,942,1,0,0,0,1,0,0,0,2,0,944
TS-OFFICE OF SCIENCE AND TECHNOLOGY POLICY,10,1,9,0,0,0,1,3,0,24,0,0,0,3,4,3,0,0,10,0,34
UJ-JAPAN-UNITED STATES FRIENDSHIP CMSN,3,0,0,0,0,0,1,0,0,4,0,0,0,0,0,5,0,0,5,0,9
UT-UTAH RECLAMATN MITIGATN & CONSERVTN CMSN,0,0,0,0,0,14,0,0,0,14,0,0,0,0,2,4,0,0,6,0,20
VAAA-OFFICE OF THE SECRETARY,26,1,13,0,0,2,2,3,0,47,3,0,0,3,1,3,1,0,11,0,58
VAAC-BOARD OF CONTRACT APPEALS,4,0,5,0,0,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
VAAD-BOARD OF VETERANS APPEALS,130,5,303,0,0,16,1,0,0,455,2,1,3,0,0,0,0,0,6,0,461
VAAE-GENERAL COUNSEL,219,27,315,0,0,69,7,0,0,637,4,5,2,0,1,4,0,0,16,1,654
VAAF-INSPECTOR GENERAL,308,16,2,0,0,8,8,0,0,342,6,0,0,0,1,0,0,0,7,1,350
VAAH-OFC OF SMALL AND DISADV BUS UTILIZATION,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
VABA-IMMED OFC OF ASST SEC FOR HUMN RES & ADM,6,0,0,0,0,0,1,0,0,7,0,0,0,2,0,0,0,0,2,0,9
VABB-DEP ASST SEC FOR SECURITY AND LAW ENFORC,23,6,0,0,0,2,1,0,0,32,1,0,0,0,0,0,0,0,1,0,33
VABC-DEPY ASST SEC FOR HUMAN RESOURCES MGT,133,7,0,0,0,1,3,0,0,144,6,1,0,1,0,0,0,0,8,0,152
VABD-DEPUTY ASST SEC FOR EQUAL OPPORTUNITY,8,0,0,0,0,1,1,0,0,10,0,0,0,0,0,0,0,0,0,0,10
VABE-DEPUTY ASSISTANT SECRETARY FOR ADMIN,99,3,2,0,0,8,0,0,0,112,1,0,1,0,0,0,0,0,2,0,114
VABF-DEP ASST SEC FOR OFC OF RESOLUTION MGT,235,5,2,0,0,14,1,0,0,257,13,0,0,0,0,0,0,0,13,0,270
VABG-SHARED SERVICE CENTER,110,128,0,1,0,1,1,0,0,241,8,0,0,0,0,0,0,0,8,0,249
VADA-IMMED OFC OF THE ASST SEC FOR MANAGEMENT,7,0,0,0,0,1,1,0,0,9,0,0,0,1,1,0,0,0,2,0,11
VADC-DEPUTY ASSISTANT SECRETARY FOR BUDGET,29,2,1,0,0,2,1,0,0,35,0,0,0,0,0,0,0,0,0,0,35
VADD-DEPUTY ASST SEC FOR FINANCE,433,17,1,5,0,6,4,0,0,466,3,0,0,0,0,0,0,0,3,0,469
VADG-DEP ASST SEC FOR ACQUIS AND MATERIEL MGT,313,12,1,1,0,11,4,0,0,342,5,0,1,0,0,0,0,0,6,0,348
VAEA-IMMED OFC OF ASST SEC FOR INFO AND TECH,7,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,7
VAEB-DEP ASST SEC FOR INFO AND TECHNOLOGY,459,26,6,9,0,18,2,0,0,520,1,0,0,0,0,0,0,0,1,0,521
VAHA-IMMED OFC OF ASST SEC FOR POLICY & PLANG,3,0,0,0,0,0,0,1,0,4,0,0,0,1,1,0,0,0,2,0,6
VAHB-DEP ASST SEC FOR PROGRAM & DATA ANALYSIS,8,2,1,0,0,0,2,1,0,14,0,0,0,0,0,0,0,0,0,0,14
VAHC-DEP ASST SEC FOR PLANNING & EVALUATION,21,2,0,0,0,0,1,0,0,24,1,0,0,0,0,0,0,0,1,0,25
VAHD-NAT CTR FOR VET ANALYSIS AND STATISTICS,16,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,16
VAJA-IMMED OFC OF ASST SEC FOR PUB & INT AFF,7,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,1,0,8
VAJB-DEP ASST SEC INTERGOV & INTERNAT AFFAIRS,8,0,0,0,0,0,0,1,0,9,0,0,0,0,0,1,0,0,1,0,10
VAJC-DEP ASST SEC FOR PUBLIC AFFAIRS,41,4,0,1,0,1,0,1,0,48,1,0,0,0,0,0,0,0,1,0,49
VAKA-IMMED OFC OF ASST SEC FOR CONG AFFAIRS,2,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0,3,0,5
VAKB-DEP ASST SEC FOR CONGRESSIONAL AFFAIRS,22,1,0,0,0,0,1,0,0,24,1,0,0,0,0,0,0,0,1,0,25
VALA-VETERANS BENEFITS ADMINISTRATION,9825,1032,33,24,0,506,49,0,0,11469,219,77,35,0,0,1,0,0,332,5,11806
VAPA-NATIONAL CEMETERY ADMINISTRATION,948,126,1,7,0,112,4,0,0,1198,244,8,5,0,0,3,0,0,260,0,1458
VATA-VETERANS HEALTH ADMINISTRATION,97308,12364,1005,211,0,68446,152,0,23,179509,6221,613,1384,2,1,14482,0,0,22703,8,202220
ZL-MEDICARE PAYMENT ADVISORY COMMISSION,0,0,0,0,0,31,0,0,0,31,0,0,0,0,0,12,0,0,12,0,43
ZN-TRADE DEFICIT REVIEW COMMISSION,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,0,7
ZP-U.S. CMSN ON INTERNATL RELIGIOUS FREEDOM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,17,0,17
