Agency,10-Competitive Service - Career,15-Competitive Service - Career-Conditional,30-Excepted Service - Schedule A,32-Excepted Service - Schedule B,36-Excepted Service - Executive,38-Excepted Service - Other,50-Senior Executive Service - Career,55-Senior Executive Service - Non-Career,**-Unspecified,Permanent,20-Competitive Service,40-Excepted Service - Schedule A,42-Excepted Service - Schedule B,44-Excepted Service - Schedule C,46-Excepted Service - Executive,48-Excepted Service - Other,60-Senior Executive Service - Limited Term,65-Senior Executive Service - Limited Emergency,Non-permanent,Unspecified,Type of Appointment - All
LP00-GOVERNMENT PRINTING OFFICE,3229,111,12,0,0,37,0,0,0,3389,28,3,0,0,0,15,0,0,46,0,3435
LT00-U.S. TAX COURT,124,8,8,0,0,11,0,0,0,151,0,59,1,32,0,6,0,0,98,0,249
MA00-MARINE MAMMAL COMMISSION,6,1,1,0,0,2,0,0,0,10,0,0,0,0,1,10,0,0,11,0,21
MC00-FEDERAL MARITIME COMMISSION,104,2,14,0,0,1,8,0,0,129,2,1,0,5,4,0,0,0,12,0,141
NF00-NATIONAL SCIENCE FOUNDATION,649,47,4,1,0,228,84,0,0,1013,3,1,12,0,16,36,6,0,74,0,1087
NK00-NATIONAL COUNCIL ON DISABILITY,4,1,2,0,0,1,0,0,0,8,0,0,0,0,1,14,0,0,15,0,23
NL00-NATIONAL LABOR RELATIONS BOARD,1067,23,686,0,0,8,54,5,0,1843,3,3,6,1,4,1,0,0,18,0,1861
NM00-NATIONAL MEDIATION BOARD,27,6,3,0,0,2,2,0,0,40,1,0,1,4,1,0,0,0,7,0,47
"NN10-HEADQUARTERS, NASA",955,14,22,0,0,9,102,3,0,1105,1,1,1,12,3,320,2,0,340,0,1445
NN21-AMES RESEARCH CENTER,1225,56,8,26,0,4,23,0,0,1342,120,0,23,0,0,0,0,0,143,0,1485
NN22-JOHN GLENN RESEARCH CTR AT LEWIS FIELD,1952,7,4,5,0,3,28,0,0,1999,23,0,2,0,0,1,0,0,26,0,2025
NN23-LANGLEY RESEARCH CENTER,2181,30,11,34,0,2,32,0,0,2290,65,0,18,0,0,0,0,0,83,0,2373
NN24-DRYDEN FLIGHT RESEARCH CENTER,456,31,1,16,0,10,9,0,0,523,48,1,2,0,0,0,0,0,51,0,574
NN51-GODDARD SPACE FLIGHT CENTER,3075,70,14,43,0,6,45,0,0,3253,53,2,7,0,0,0,0,0,62,0,3315
NN62-GEORGE C. MARSHALL SPACE FLIGHT CENTER,2631,18,19,5,0,13,43,0,0,2729,37,0,0,0,0,6,0,0,43,0,2772
NN64-JOHN C. STENNIS SPACE CENTER,198,8,3,6,0,1,4,0,0,220,22,0,2,0,0,1,0,0,25,0,245
NN72-LYNDON B. JOHNSON SPACE CENTER,2829,60,10,39,0,14,67,0,0,3019,118,0,0,0,0,6,0,0,124,0,3143
NN76-JOHN F. KENNEDY SPACE CENTER,1704,5,6,18,0,5,28,0,0,1766,61,2,1,0,0,0,0,0,64,0,1830
NP00-NATIONAL CAPITAL PLANNING COMMISSION,35,3,0,0,0,0,4,0,0,42,1,0,1,0,5,0,0,0,7,0,49
NQ00-NAT ARCHIVES AND RECORDS ADMINISTRATION,1873,335,177,3,0,14,11,4,0,2417,55,1,135,1,1,0,0,0,193,0,2610
NS00-NATIONAL SECURITY COUNCIL,0,0,39,0,0,0,0,0,0,39,0,2,0,0,0,0,0,0,2,0,41
NU00-NUCLEAR REGULATORY COMMISSION,1,0,0,1,0,2721,180,0,0,2903,0,0,2,0,1,108,1,0,112,0,3015
NV08-IMMEDIATE OFC OF SEC OF NAVY,277,4,22,0,0,3,29,6,0,341,0,0,0,9,3,6,0,0,18,0,359
NV09-NAVY STAFF OFFICES,124,3,4,0,0,2,2,0,0,135,1,0,2,0,0,0,0,0,3,0,138
NV10-NAVY FIELD OFFICES,1695,78,1466,3,0,102,19,0,0,3363,28,20,12,0,0,12,0,0,72,0,3435
NV11-IMM OFC OF CHIEF OF NAVAL OPERATIONS,4388,693,514,16,0,513,20,0,0,6144,149,360,81,0,0,100,1,0,691,6,6841
NV14-OFFICE OF NAVAL RESEARCH,3011,218,41,42,0,12,52,0,0,3376,28,20,101,0,0,18,0,0,167,0,3543
NV15-NAVAL INTELLIGENCE COMMAND,0,0,23,0,0,1006,0,0,0,1029,0,0,0,0,0,37,0,0,37,0,1066
NV18-NAVAL MEDICAL COMMAND,8405,658,49,5,0,284,1,0,0,9402,256,210,76,0,0,2,0,0,544,16,9962
NV19-NAVAL AIR SYSTEMS COMMAND,25246,1313,83,40,0,393,48,0,0,27123,483,13,19,0,0,0,0,0,515,6,27644
NV22-BUREAU OF NAVAL PERSONNEL,1292,79,2,2,0,158,0,0,0,1533,33,0,2,0,0,1,0,0,36,0,1569
NV23-NAVAL SUPPLY SYSTEMS COMMAND,9405,110,50,15,0,58,7,0,0,9645,87,18,13,0,0,2,0,0,120,0,9765
NV24-NAVAL SEA SYSTEMS COMMAND,47911,2055,148,674,0,266,75,0,0,51129,957,4,118,0,0,9,0,0,1088,4,52221
NV25-NAVAL FACILITIES ENGINEERING COMMAND,14903,386,88,24,0,51,9,0,0,15461,424,16,44,0,0,1,0,0,485,2,15948
NV27-U.S. MARINE CORPS,13421,749,44,0,0,404,12,0,0,14630,611,138,12,0,0,10,0,0,771,1,15402
NV30-SPECIAL PROJECTS OFFICE,754,7,10,2,0,5,7,0,0,785,1,0,2,0,0,0,0,0,3,0,788
NV33-MILITARY SEALIFT COMMAND,920,67,2815,0,0,29,3,0,0,3834,19,345,9,0,0,0,0,0,373,0,4207
NV39-NAVAL SPACE AND WARFARE SYSTEMS COMMAND,5341,353,51,34,0,95,21,0,0,5895,30,1,101,0,0,0,0,0,132,0,6027
"NV60-U.S. ATLANTIC FLEET, COMMANDER IN CHIEF",9516,462,12,8,0,529,2,0,0,10529,296,118,35,0,0,2,0,0,451,0,10980
"NV61-U.S. NAVAL FORCES, EUROPE",397,45,6,0,0,24,0,0,0,472,70,567,0,0,0,3,0,0,640,0,1112
NV62-NAVAL EDUCATION AND TRAINING COMMAND,5182,384,28,13,0,76,2,0,0,5685,224,6,26,0,0,0,0,0,256,0,5941
NV63-NAVAL COMPUTER & TELECOMMUNICATIONS CMD,2246,104,2,14,0,61,0,0,0,2427,43,28,3,0,0,1,0,0,75,0,2502
NV65-NAVAL OCEANOGRAPHY COMMAND,1190,111,2,20,0,22,2,0,0,1347,35,1,52,0,0,2,0,0,90,0,1437
NV69-NAVAL SECURITY GROUP COMMAND,396,73,0,7,0,201,0,0,0,677,10,1,0,0,0,0,0,0,11,0,688
"NV70-U.S. PACIFIC FLEET, COMMANDER IN CHIEF",8829,589,15,32,0,234,3,0,0,9702,238,199,89,0,0,1,0,0,527,0,10229
NV72-NAVAL RESERVE FORCE,1710,115,11,4,0,75,0,0,0,1915,102,1,14,0,0,1,0,0,118,0,2033
NV74-NAVAL SPECIAL WARFARE COMMAND,196,6,2,0,0,11,0,0,0,215,17,0,13,0,0,0,0,0,30,0,245
OM00-OFFICE OF PERSONNEL MANAGEMENT,2370,91,924,10,0,7,36,5,0,3443,128,11,55,12,2,27,4,0,239,0,3682
OS00-OCCUPATIONAL SAFETY & HEALTH REVIEW CMSN,42,0,11,0,0,6,1,2,0,62,1,0,1,1,1,0,0,0,4,0,66
PC00-PANAMA CANAL COMMISSION,0,0,0,0,0,503,0,0,0,503,0,0,0,0,1,46,0,0,47,0,550
PU00-PEACE CORPS,0,0,0,0,0,32,0,0,0,32,0,0,0,0,1,808,0,0,809,0,841
QQ00-OFFICE OF NATIONAL DRUG CONTROL POLICY,47,15,12,0,0,1,9,3,0,87,0,3,3,13,3,14,0,0,36,0,123
RE00-OFC OF NAVAJO AND HOPI INDIAN RELOCATION,70,2,0,0,0,0,2,0,0,74,2,0,0,0,0,0,0,0,2,0,76
RF00-FED RETIREMENT THRIFT INVESTMENT BOARD,82,6,4,0,0,1,10,0,0,103,0,0,4,0,0,5,0,0,9,0,112
RH01-NAVAL HOME,126,13,3,1,0,8,0,0,0,151,2,0,0,0,0,4,0,0,6,0,157
RH02-U.S. SOLDIERS' AND AIRMEN'S HOME,505,79,10,0,0,13,0,0,0,607,1,72,1,0,0,12,0,0,86,0,693
RR00-RAILROAD RETIREMENT BOARD,1255,10,0,0,0,2,12,0,0,1279,2,0,0,0,3,1,0,0,6,0,1285
RS00-FED MINE SAFETY AND HEALTH REVIEW CMSN,22,0,4,0,0,2,2,0,0,30,1,5,1,7,4,0,0,0,18,0,48
SB00-SMALL BUSINESS ADMINISTRATION,2921,328,248,5,0,20,35,7,0,3564,463,409,26,34,3,35,2,0,972,0,4536
SE00-SECURITIES AND EXCHANGE COMMISSION,1306,235,1029,2,0,8,70,2,0,2652,13,67,43,21,5,5,0,0,154,0,2806
SK00-CONSUMER PRODUCT SAFETY COMMISSION,391,20,23,0,0,0,9,2,0,445,2,0,6,10,3,0,1,0,22,0,467
SM01-NATIONAL GALLERY OF ART,652,63,7,0,0,44,0,0,0,766,6,0,2,0,0,0,0,0,8,0,774
SM02-WOODROW WILSON INTER CTR FOR SCHOLARS,25,8,0,0,0,0,0,0,0,33,1,3,0,0,0,2,0,0,6,0,39
SM03-SMITHSONIAN INST (EXC SEP BRDS OF TRUST),3108,405,29,1,0,234,0,0,0,3777,356,4,16,0,0,6,0,0,382,0,4159
SM04-JOHN F. KENNEDY CTR FOR THE PERFORM ARTS,36,7,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,43
SS00-SELECTIVE SERVICE SYSTEM,143,6,2,0,0,7,0,1,0,159,0,50,0,2,1,3,0,0,56,0,215
ST00-DEPARTMENT OF STATE,4127,445,150,60,0,6725,92,31,1,11631,658,65,133,61,30,3042,15,1,4005,1,15637
SZ00-SOCIAL SECURITY ADMINISTRATION,57835,3378,754,101,0,1228,94,12,3,63405,909,403,872,3,1,36,0,0,2224,0,65629
TB00-NATIONAL TRANSPORTATION SAFETY BOARD,289,75,7,11,0,5,10,1,0,398,2,2,20,8,5,8,0,0,45,0,443
TC00-U.S. INTERNATIONAL TRADE COMMISSION,269,27,46,4,0,0,7,0,0,353,4,2,7,11,6,0,1,0,31,0,384
TD01-OFC OF SEC OF TRANSPORTATION,681,34,33,1,0,25,35,9,0,818,5,4,18,27,6,10,1,0,71,1,890
TD02-U.S. COAST GUARD,4753,349,75,22,0,227,7,1,0,5434,322,6,47,0,0,22,0,0,397,0,5831
TD03-FEDERAL AVIATION ADMINISTRATION,0,0,4,0,0,49746,0,0,28,49778,0,0,0,0,0,479,0,0,479,1,50258
TD04-FEDERAL HIGHWAY ADMINISTRATION,3029,275,53,13,0,13,53,2,0,3438,42,1,31,2,1,10,0,0,87,0,3525
TD05-FEDERAL RAILROAD ADMINISTRATION,575,73,28,2,0,1,10,2,0,691,2,0,5,1,1,1,0,0,10,0,701
TD06-ST. LAWRENCE SEAWAY DEV CORP,130,14,1,0,0,2,2,0,0,149,5,0,1,0,0,1,1,0,8,0,157
TD09-FEDERAL TRANSIT ADMINISTRATION,406,34,24,2,0,3,8,3,0,480,2,2,1,0,1,2,0,0,8,0,488
TD10-NAT HIGHWAY TRAFFIC SAFETY ADM,492,44,17,0,0,5,23,2,0,583,1,0,20,5,1,1,0,0,28,0,611
TD11-RESEARCH AND SPECIAL PROGRAMS ADM,690,75,21,18,0,9,17,2,0,832,25,16,13,1,1,5,0,0,61,0,893
TD12-OFFICE OF INSPECTOR GENERAL,348,59,12,0,0,9,9,0,0,437,4,2,1,0,1,2,0,0,10,0,447
TD13-MARITIME ADMINISTRATION,761,30,78,0,0,3,14,1,0,887,3,34,2,1,1,0,0,0,41,0,928
TD15-SURFACE TRANSPORTATION BOARD,76,1,2,0,0,35,6,0,0,120,2,1,0,0,0,6,0,0,9,0,129
TN00-OFFICE OF THE U.S. TRADE REPRESENTATIVE,87,4,18,0,0,14,21,6,0,150,0,1,7,4,3,2,0,0,17,0,167
TR35-OFFICE OF THRIFT SUPERVISION,208,49,974,0,0,22,0,0,0,1253,7,2,0,1,1,6,0,0,17,0,1270
"TR40-BUREAU OF ALCOHOL, TOBACCO AND FIREARMS",3653,179,59,0,0,35,31,0,0,3957,6,1,65,0,0,0,0,0,72,0,4029
TR91-DEPARTMENTAL OFFICES,1011,75,65,0,0,7,71,26,0,1255,22,74,41,37,16,46,3,0,239,0,1494
TR93-INTERNAL REVENUE SERVICE,86912,6104,1977,8,0,226,240,0,0,95467,1917,52,81,0,2,11,0,0,2063,0,97530
TR95-OFFICE OF INSPECTOR GENERAL,246,18,3,0,0,1,6,0,0,274,0,1,2,0,0,0,0,0,3,0,277
TRAA-FINANCIAL MANAGEMENT SERVICE,1954,54,14,1,0,20,18,0,0,2061,44,3,7,0,0,0,0,0,54,0,2115
TRAB-BUREAU OF THE PUBLIC DEBT,1569,174,21,8,0,16,10,1,0,1799,11,0,26,0,0,0,0,0,37,0,1836
TRAC-U.S. SECRET SERVICE,3740,110,4,7,0,39,33,0,0,3933,12,3,938,0,0,14,0,0,967,0,4900
TRAD-U.S. MINT,1727,243,9,4,0,53,7,0,0,2043,27,1,17,1,1,2,0,0,49,0,2092
TRAF-U.S. CUSTOMS SERVICE,16111,1867,263,90,0,1184,60,1,0,19576,340,283,172,0,1,15,0,0,811,0,20387
TRAH-FEDERAL LAW ENFORCEMENT TRAINING CENTER,446,57,2,0,0,18,7,0,0,530,11,0,2,0,0,0,0,0,13,0,543
TRAI-BUREAU OF ENGRAVING AND PRINTING,2283,111,18,0,0,20,6,0,0,2438,68,0,49,0,0,1,0,0,118,0,2556
TRAJ-OFC OF COMPTROLLER OF CURRENCY,760,68,130,1885,0,15,0,0,0,2858,47,3,28,0,0,1,0,0,79,0,2937
TS00-OFFICE OF SCIENCE AND TECHNOLOGY POLICY,9,2,8,0,0,0,1,3,0,23,0,0,0,5,5,0,0,0,10,0,33
UJ00-JAPAN-UNITED STATES FRIENDSHIP CMSN,3,0,0,0,0,2,1,0,0,6,0,0,0,0,0,8,0,0,8,0,14
UT00-UTAH RECLAMATN MITIGATN & CONSERVTN CMSN,0,0,0,0,0,11,0,0,0,11,0,0,0,0,3,2,0,0,5,0,16
VA**-UNSPECIFIED,498,6,5,0,0,12,3,0,0,524,3,0,2,0,0,0,0,0,5,0,529
VAAA-OFFICE OF THE SECRETARY,21,1,0,0,0,7,0,1,0,30,3,0,0,1,1,2,1,0,8,0,38
VAAC-BOARD OF CONTRACT APPEALS,4,0,6,0,0,1,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11
VAAD-BOARD OF VETERANS APPEALS,146,5,319,0,0,9,1,0,0,480,5,1,0,0,0,0,0,0,6,0,486
VAAE-GENERAL COUNSEL,231,14,301,2,0,68,6,0,0,622,7,4,1,0,0,3,0,0,15,1,638
VAAF-INSPECTOR GENERAL,299,13,1,0,0,7,8,0,0,328,4,0,0,0,1,0,0,0,5,0,333
VAAH-OFC OF SMALL AND DISADV BUS UTILIZATION,12,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
VABA-IMMED OFC OF ASST SEC FOR HUMN RES & ADM,5,0,0,0,0,0,0,0,0,5,1,0,0,2,0,0,0,0,3,0,8
VABB-DEP ASST SEC FOR SECURITY AND LAW ENFORC,20,1,0,0,0,3,1,0,0,25,2,0,0,0,0,0,0,0,2,0,27
VABC-DEPY ASST SEC FOR HUMAN RESOURCES MGT,442,5,2,0,0,12,4,0,0,465,11,0,0,1,0,0,0,0,12,0,477
VABD-DEPUTY ASST SEC FOR EQUAL OPPORTUNITY,10,0,0,0,0,1,1,0,0,12,2,0,0,0,0,0,0,0,2,0,14
VABE-DEPUTY ASSISTANT SECRETARY FOR ADMIN,112,1,2,0,0,8,1,0,0,124,3,0,0,0,0,0,0,0,3,0,127
VADA-IMMED OFC OF THE ASST SEC FOR MANAGEMENT,6,1,0,0,0,0,2,0,0,9,0,0,0,1,0,0,0,0,1,0,10
VADC-DEPUTY ASSISTANT SECRETARY FOR BUDGET,31,0,0,0,0,1,1,0,0,33,0,0,0,0,0,0,0,0,0,0,33
VADD-DEPUTY ASST SEC FOR FINANCE,358,9,2,4,0,8,5,0,0,386,2,0,0,0,0,0,0,0,2,0,388
VADG-DEP ASST SEC FOR ACQUIS AND MATERIEL MGT,314,8,0,0,0,14,4,0,0,340,3,1,0,0,0,0,0,0,4,0,344
VAHA-IMMED OFC OF ASST SEC FOR POLICY & PLANG,5,0,0,0,0,0,0,1,0,6,2,0,0,0,1,2,0,0,5,0,11
VAHB-DEP ASST SEC FOR PROGRAM & DATA ANALYSIS,9,0,1,0,0,1,1,1,0,13,0,0,0,0,0,0,0,0,0,0,13
VAHC-DEP ASST SEC FOR PLANNING & EVALUATION,16,0,0,0,0,0,1,0,0,17,0,0,0,0,0,0,0,0,0,0,17
VAHD-NAT CTR FOR VET ANALYSIS AND STATISTICS,19,0,0,0,0,0,1,0,0,20,0,0,0,0,0,0,0,0,0,0,20
VAJA-IMMED OFC OF ASST SEC FOR PUB & INT AFF,5,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,5
VAJB-DEP ASST SEC INTERGOV & INTERNAT AFFAIRS,4,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,5
VAJC-DEP ASST SEC FOR PUBLIC AFFAIRS,36,1,0,0,0,0,0,1,0,38,3,0,0,0,0,0,0,0,3,0,41
VAKA-IMMED OFC OF ASST SEC FOR CONG AFFAIRS,2,0,0,0,0,0,1,0,0,3,1,0,0,2,0,2,0,0,5,0,8
VAKB-DEP ASST SEC FOR CONGRESSIONAL AFFAIRS,20,0,0,0,0,0,1,0,0,21,1,0,0,0,0,0,0,0,1,0,22
VALA-VETERANS BENEFITS ADMINISTRATION,10140,453,33,8,0,349,50,0,0,11033,232,37,12,0,0,1,0,0,282,1,11316
VAPA-NATIONAL CEMETERY ADMINISTRATION,938,93,1,0,0,96,3,0,0,1131,217,7,2,0,0,9,0,1,236,0,1367
VATA-VETERANS HEALTH ADMINISTRATION,102976,8521,1016,134,0,69731,166,1,29,182574,7710,797,1070,3,1,32386,0,0,41967,5,224546
ZI00-NATIONAL GAMBLING IMPACT STUDY CMSN,0,0,0,0,0,6,0,0,0,6,0,0,0,0,0,17,0,0,17,0,23
ZK00-CMSN ON ADVANCEMNT OF FED LAW ENFORCEMNT,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8,0,0,9,0,9
ZL00-MEDICARE PAYMENT ADVISORY COMMISSION,0,0,0,0,0,28,0,0,0,28,0,0,0,0,0,17,0,0,17,0,45
